FATP-QT,V1.2.8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Durations,Version,List of Failing Tests,Read_FATP_SN,PPORION_OVP_OUT_16V_CURR,PPORION_OVP_OUT_5V2_CURR,PORION_RVP_OUT_-16V_CURR,SYS_IDBUS_6V_VBUS_5V2_CURR,SYS_IDBUS_6V_VBUS_0V_CURR,SYS_IDBUS_-5V2_VBUS_0V_CURR,Query SFC Lang,Read Lang Blob,Query MLB SN,Read MLB SN,KBM SN,WO NO,Unit LBL,Build EVENT,Build MATRIX CONFIG,UNIT#,S BUILD,USBC BOARD SN,BACKLIGHT SN,TRACKPAD SN,TOUCH FLEX SN,P line SN,KBD_HW_Layout,READ_HW_VERSION,FW_VERSION_L4R5,FW_VERSION_MTFW,FW_VERSION_CCG3,MIX FW,Production signed check,GreenPAK ID,OrionPWR_On_Sys Voltage,OrionPWR_SYS_CURRENT_ALL_RAILS,OrionPWR_SYS_CURRENT_IDLE,OrionPWR_SYS_CURRENT_LEDs_to_0PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_3P8PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_100PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_UserMax_brightness,OrionPWR_SYS_CURRENT_CAPSLOCK_ONLY,OrionPWR_SYS_CURRENT_MFI_ONLY,OrionPWR_SYS_CURRENT_BLC_ONLY,OrionPWR_SYS_CURRENT_USBC_AltPWR_ONLY,OrionPWR_SYS_CURRENT_TOUCH_ONLY,OrionPWR_SYS_CURRENT_Energy_Storage_ONLY,OrionPWR_SYS_CURRENT_Energy_Storage,USBC_PWR_On_Sys Voltage,USBC_PWR_SYS_CURRENT_ALL_RAILS,USBC_PWR_SYS_CURRENT_IDLE,USBC_PWR_SYS_CURRENT_CAPSLOCK_ONLY,USBC_PWR_SYS_CURRENT_BLC_ONLY,USBC_PWR_SYS_CURRENT_MFI_ONLY,USBC_PWR_SYS_CURRENT_TOUCH_ONLY,USBC_PWR_SYS_CURRENT_Energy_Storage_ONLY,USBC_PWR_SYS_CURRENT_LEDs_to_100PCT_brightness,USBC_PWR_SYS_CURRENT_Energy_Storage_5V,5W_5V_1P0A_BRICKID_System_Curr,5W_5V_1P0A_BRICKID_CAPABILITY_Type,5W_5V_1P0A_BRICKID_CAPABILITY_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_Curr,5W_5V_1P0A_BRICKID_CAPABILITY_DM_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_DP_Vol,10W_5V_1P5A_BRICKID_System_Curr,10W_5V_1P5A_BRICKID_CAPABILITY_Type,10W_5V_1P5A_BRICKID_CAPABILITY_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_Curr,10W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,12.5W_5V_1P5A_BRICKID_System_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_Type,12.5W_5V_1P5A_BRICKID_CAPABILITY_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,CC_Rp_Capability_Type-56kohm_5V,CC_Rp_Capability_VOL-56kohm_5V,CC_Rp_Capability_CURR-56kohm_5V,CC_Rp_Capability_Type-22kohm_5V,CC_Rp_Capability_VOL-22kohm_5V,CC_Rp_Capability_CURR-22kohm_5V,CC_Rp_Capability_Type-10kohm_5V,CC_Rp_Capability_VOL-10kohm_5V,CC_Rp_Capability_CURR-10kohm_5V,5V_2P5A_CURR_USBC_PD,5V_2P5A_Charge_Type,5V_2P5A_Charge_Voltage,5V_2P5A_Charge_Capability,5V_2P5A_Orion_Power_Voltage,5V_2P5A_DUT_Input_Voltage,5V_2P5A_DCR,9V_2P5A_CURR_USBC_PD,9V_2P5A_Charge_Type,9V_2P5A_Charge_Voltage,9V_2P5A_Charge_Capability,9V_2P5A_Orion_Power_Voltage,9V_2P5A_DUT_Input_Voltage,9V_2P5A_DCR,PHASE1_CONSUMER_DUT_MODE,PHASE2_SYS_CURRENT_pre_swap_consumer,PHASE2_C2P_DUT_MODE,PHASE2_SYS_CURRENT_pre_swap_provider,PHASE3_Vol_IDBUS_provider,PHASE5_P2C_DUT_MODE,Read_PHASE5_BROWNOUT_STATUS,4V8_DUT_Applied_Voltage,4V8_MCU_AID_Rise_Time,4V8_MCU_AID_Fall_Time,4V8_MCU_VOH,4V8_MCU_VOL,4V8_MCU_Bits_period,2V4_DUT_Applied_Voltage,2V4_MCU_AID_Rise_Time,2V4_MCU_AID_Fall_Time,2V4_MCU_VOH,2V4_MCU_VOL,2V4_MCU_Bits_period,USBC Mux_In_Tristar CCG3_USB_VID,USBC Mux_In_Tristar CCG3_USB_PID,USBC Mux_In_Tristar STM32L4_VID,USBC Mux_In_Tristar STM32L4_PID
Upper Limited-------->,,,,,,,,,,,,,,11.5,8,0.1,0.23,0.22,-30,,,,,,,,,,,,,,,,,,4,624,1301,258,,0,3,4900,9.7,0.3,3.05,18,235,87,20.5,0.3,3.05,3.35,3.9,0.7,3.05,9100,12,8.4,17.5,9.25,8.4,10.5,8.4,142,7.5,1040,4,5000,1,2.1,1.25,1540,4,5000,1500,1.25,2.1,1540,4,5000,1500,2.1,2.1,5,5000,500,5,5000,1500,5,5000,3000,2540,6,5000,3000,5,5.25,0.205,2540,6,9000,3000,8.9,9.3,0.205,5,135,4,140,2900,5,1,4.9,70,66,1.95,0.2,10.2,2.5,70,90,1.85,0.2,10.2,1452,622,1452,622
Lower Limited-------->,,,,,,,,,,,,,,10.5,2,-0.3,0.19,0.19,-40,,,,,,,,,,,,,,,,,,4,624,1301,258,,0,3,4750,8.1,0.14,2.55,15,205,75,17,0.14,2.55,2.8,2.7,0.2,2.55,8900,8,6.2,13.75,7.25,6.2,7.9,6.3,122,5.5,980,4,5000,1,1.5,0.6,1480,4,5000,1500,0.6,1.5,1480,4,5000,1500,1.5,1.5,5,5000,500,5,5000,1500,5,5000,3000,2480,6,5000,3000,4.4,5,0.12,2480,6,9000,3000,8.5,8.9,0.12,5,100,4,106,2760,5,1,4.7,40,40,1.8,0,9.8,2.35,35,62,1.5,0,9.8,1452,622,1452,622
Measurement Units---->,,,,,,,,,,,,,,mA,mA,mA,mA,mA,mA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,,NA,NA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,mV,A,V,V,mA,NA,mV,mA,V,V,mA,NA,mV,mA,V,V,NA,NA,NA,NA,NA,NA,NA,NA,NA,mA,NA,mV,mA,V,V,ohms,mA,NA,mV,mA,V,V,ohms,NA,mA,NA,mA,mV,NA,NA,V,ns,ns,V,V,us,V,ns,ns,V,V,us,NA,NA,NA,NA
FXLH,R118,FTPZV019PPHG,R118-EVT,R118-EVT_E1ATW,,FXLH_F05-4FT-02_2_QT1,PASS,12-16-08:07:53,12-16-08:14:05,371.6,V1.2.8.0,PASS,FTPZV019PPHG,11.01575285,3.260532749,-0.022015238,0.2063101,0.200342729,-37.18710273,TA TAIWANESE,02 01 01 12 49 16 16,DLX949700CFN6R54Q,DLX949700CFN6R54Q,C4P94540009JCPW3S,WMT-JC0011,R118-EVT_E1ATW_C02552,R118-EVT,E1ATW,C02552,R118-EVT_E1ATW,DLX949700UVMW013P,GV294930002N3LN56,FM7944602Z1N0LH2P+02J,CR1947201HSMW5D1W,DKB9503005TPQGL0M,33,4,624,1301,258," ""1.0.29""",0,3,4804.473242,8.750851219,0.21936032,2.787673937,16.6748155,218.5055872,81.00563071,18.95785444,0.24445155,2.78599099,3.141350361,3.404170313,0.501073802,2.842381551,9000.222768,10.1526571,7.367720665,15.59089756,8.175189424,7.384939347,9.181706648,7.436223044,131.2420169,6.47375924,1010.627556,4,5000,1,1.812,0.918,1520.702109,4,5000,1500,0.918,1.812,1508.992899,4,5000,1500,1.812,1.812,5,5000,500,5,5000,1500,5,5000,3000,2509.275584,6,5000,3000,4.665102357,5.066552644,0.159986527,2507.756451,6,9000,3000,8.649424795,9.049152743,0.159396638,5,116.4378102,4,123.3631745,2833.802838,5,1,4.81192687,54,51,1.900159101,0.002647,9.995,2.425324632,56.5,79,1.687754563,0.000623,9.997,1452,622,1452,622
FXLH,R118,FTPZT024PPHH,R118-EVT,R118-EVT_E1ATH-M5,,FXLH_F05-4FT-02_2_QT1,PASS,12-16-08:28:08,12-16-08:34:21,372.35,V1.2.8.0,PASS,FTPZT024PPHH,11.05384937,3.240823551,-0.019925721,0.205887135,0.199940279,-37.15001796,TH THAI,02 01 01 21 49 16 16,DLX9496004WN6R540,DLX9496004WN6R540,C4P9454005GJCPX33,WCT-JC0007,R118-EVT_E1ATH-M5_C02180,R118-EVT,E1ATH-M5,C02180,R118-EVT_E1ATH-M5,DLX949200C1MW0132,GV294810020N3LN57,FM7944603FRN0LH2J+02J,CR1947201HCMW5D1A,DKB9496005XPQGL0N,33,4,624,1301,258," ""1.0.29""",0,3,4804.585271,8.930265703,0.220025039,2.791317289,16.65616849,217.2798719,80.18405057,18.58468892,0.244762372,2.789998384,3.165359554,3.411526276,0.486291385,2.837041208,9000.439306,10.23367501,7.453550029,15.48899075,8.266675121,7.474122787,9.331497369,7.552035326,130.3931408,6.582449803,1010.720569,4,5000,1,1.832,0.928,1521.208604,4,5000,1500,0.928,1.832,1510.781472,4,5000,1500,1.832,1.832,5,5000,500,5,5000,1500,5,5000,3000,2509.389911,6,5000,3000,4.66971793,5.066433147,0.158092298,2507.793848,6,9000,3000,8.656779598,9.049317012,0.156526987,5,115.3026875,4,122.2431707,2828.096855,5,1,4.812053835,54,52,1.899989999,0.002693,9.995,2.425294758,58.5,77,1.694492964,0.000748,9.996,1452,622,1452,622
FXLH,R118,FTPZV00YPPHG,R118-EVT,R118-EVT_E1ATW,,FXLH_F05-4FT-02_2_QT1,PASS,12-16-08:38:52,12-16-08:45:05,372.48,V1.2.8.0,PASS,FTPZV00YPPHG,11.05151191,3.262297455,-0.020791865,0.206074712,0.200098731,-37.26149754,TA TAIWANESE,02 01 01 12 49 16 16,DLX949700D4N6R54Y,DLX949700D4N6R54Y,C4P9454005QJCPW3W,WMT-JC0011,R118-EVT_E1ATW_C02562,R118-EVT,E1ATW,C02562,R118-EVT_E1ATW,DLX949700WGMW013W,GV29493000FN3LN5T,FM7944602Z3N0LH2M+02J,CR1947201HNMW5D10,DKB95030069PQGL02,33,4,624,1301,258," ""1.0.29""",0,3,4804.562865,8.869220497,0.222693724,2.796527878,16.7702496,219.1982321,81.49926678,19.06338989,0.247674667,2.801861626,3.117235655,3.217654646,0.499021501,2.841079988,9000.409439,10.23026731,7.480570107,15.76884051,8.300897703,7.49631788,9.275369915,7.549476223,131.2920189,6.599486265,1010.67876,4,5000,1,1.806,0.902,1511.114431,4,5000,1500,0.902,1.806,1509.232778,4,5000,1500,1.806,1.832,5,5000,500,5,5000,1500,5,5000,3000,2508.30321,6,5000,3000,4.677896009,5.066306181,0.154849769,2507.786475,6,9000,3000,8.66137915,9.049063141,0.154592105,5,117.6602686,4,122.7515743,2842.01826,5,1,4.81192687,55,50,1.898317967,0.001989,10.011,2.425309695,55.5,75,1.680626,0.000632,10.016,1452,622,1452,622
FXLH,R118,FTPZR026PPHF,R118-EVT,R118-EVT_E1AEN-S1,,FXLH_F05-4FT-02_2_QT1,PASS,12-16-09:15:40,12-16-09:21:49,369.19,V1.2.8.0,PASS,FTPZR026PPHF,11.05166995,3.314146588,-0.019968039,0.205554478,0.199681017,-37.235732,US ENGLISH,02 01 01 05 49,DLX9485004MN6R54D,DLX9485004MN6R54D,C4P945700SLJCPP39,WCT-JB0010,R118-EVT_E1AEN-S1_C02027,R118-EVT,E1AEN-S1,C02027,R118-EVT_E1AEN-S1,DLX94840231MW013U,GV294770026N3LN5Y,FM794460310N0LH2H+02J,CR194720158MW5D1G,DKB9487001YPQGL01,33,4,624,1301,258," ""1.0.29""",0,3,4804.607676,8.763532568,0.22384031,2.781003455,16.77194652,220.012529,81.84202102,18.85906069,0.249144095,2.780432174,3.141393897,3.224352795,0.496186528,2.832917372,9000.245169,10.18196136,7.439127866,15.63227415,8.245383298,7.46312906,9.340356104,7.509628024,131.8324525,6.553982102,1010.526618,4,5000,1,1.806,0.902,1512.066244,4,5000,1500,0.902,1.806,1509.448636,4,5000,1500,1.806,1.832,5,5000,500,5,5000,1500,5,5000,3000,2509.068845,6,5000,3000,4.644541399,5.066179216,0.168045535,2507.555281,6,9000,3000,8.631810602,9.049085541,0.166407075,5,118.1759197,4,123.068686,2828.007232,5,1,4.812076241,55,53,1.908915226,0.000774,9.972,2.425294758,56.5,74,1.679880581,0.00081,9.972,1452,622,1452,622
FXLH,R118,FTPZV04TPPHF,R118-EVT,R118-EVT_E1AEN-3,,FXLH_F05-4FT-02_2_QT1,PASS,12-16-09:29:05,12-16-09:35:18,373.28,V1.2.8.0,PASS,FTPZV04TPPHF,11.05380286,3.265241116,-0.020093222,0.205266761,0.199301527,-37.15479604,US ENGLISH,02 01 01 05 49,DLX9503003XN6R54X,DLX9503003XN6R54X,C4P945700FYJCPP3W,WMT-JC000E,R118-EVT_E1AEN-3_C02487,R118-EVT,E1AEN-3,C02487,R118-EVT_E1AEN-3,DLX949200LWMW013H,GV29493001CN3LN5T,FM794460369N0LH2T+02J,C479473010EMW5D2A,DKB9503003PPQGL0X,33,4,624,1301,258," ""1.0.29""",0,3,4804.607676,8.760345601,0.21778879,2.798922545,16.80507783,220.6008224,81.80070537,19.01688668,0.242627323,2.797716419,3.120542992,3.242120856,0.499415829,2.845554249,9000.551308,10.11234924,7.405094352,15.65147148,8.223277847,7.423277691,9.248637868,7.480438833,132.2934969,6.552344462,1010.020412,4,5000,1,1.806,0.902,1516.058119,4,5000,1500,0.902,1.806,1509.612443,4,5000,1500,1.806,1.806,5,5000,500,5,5000,1500,5,5000,3000,2509.275762,6,5000,3000,4.667604326,5.066089593,0.158804892,2507.64758,6,9000,3000,8.652277115,9.048936205,0.158179759,5,118.3796169,4,123.8251978,2827.55165,5,1,4.812076241,53,53,1.906468879,0.001656,10.003,2.425317164,58.5,76,1.691126356,0.000695,10.001,1452,622,1452,622
FXLH,R118,FTPZV010PPHG,R118-EVT,R118-EVT_E1ATW,,FXLH_F05-4FT-02_1_QT1,PASS,12-16-08:06:40,12-16-08:13:04,384.06,V1.2.8.0,PASS,FTPZV010PPHG,11.07809515,3.24399345,-0.02223874,0.205405407,0.199492309,-36.77203911,TA TAIWANESE,02 01 01 12 49 16 16,DLX949700D1N6R541,DLX949700D1N6R541,C4P9454003WJCPW3W,WMT-JC0011,R118-EVT_E1ATW_C02560,R118-EVT,E1ATW,C02560,R118-EVT_E1ATW,DLX949700W2MW013A,GV29493000AN3LN5Y,FM7944602H8N0LH2W+02J,CR1947201KNMW5D1U,DKB95030061PQGL0A,33,4,624,1301,258," ""1.0.29""",0,3,4805.316556,8.828934743,0.220995219,2.78558452,16.86675865,221.879238,82.23758572,19.11548149,0.245934308,2.78566107,3.17388949,3.304896356,0.510842816,2.838397986,8998.028149,10.40293443,7.665612873,15.94379756,8.469301873,7.681666461,9.611920791,7.726973011,132.7326895,6.792161969,1010.422818,4,5000,1,1.78,0.85,1513.469859,4,5000,1500,0.85,1.78,1509.046862,4,5000,1500,1.78,1.78,5,5000,500,5,5000,1500,5,5000,3000,2508.779656,6,5000,3000,4.644681893,5.06265254,0.166603172,2507.20919,6,9000,3000,8.631446103,9.046869985,0.165691751,5,119.0871373,4,124.9180745,2826.103703,5,1,4.81269606,53,54,1.899398732,0.00018,10.008,2.425128277,56.5,76,1.68674183,0.000486,10.01,1452,622,1452,622
FXLH,R118,FTPZR029PPHF,R118-EVT,R118-EVT_E1AEN-S1,,FXLH_F05-4FT-02_1_QT1,PASS,12-16-08:18:49,12-16-08:24:59,370.8,V1.2.8.0,PASS,FTPZR029PPHF,11.07381119,3.282294201,-0.020604295,0.205604596,0.199820851,-36.78139961,US ENGLISH,02 01 01 05 49,DLX94850049N6R54R,DLX94850049N6R54R,C4P945700FBJCPP3H,WCT-JB0010,R118-EVT_E1AEN-S1_C02030,R118-EVT,E1AEN-S1,C02030,R118-EVT_E1AEN-S1,DLX9484022PMW0139,GV294770029N3LN5V,FM7944602MXN0LH2V+02J,CR1947201DVMW5D15,DKB94870028PQGL0N,33,4,624,1301,258," ""1.0.29""",0,3,4804.936399,9.012724772,0.221239581,2.829073768,16.82957365,220.3033604,81.69422443,18.83986043,0.246581229,2.82940518,3.112132298,3.334956113,0.496067548,2.865581818,8998.33369,10.21643411,7.503775114,15.65775955,8.317461999,7.518567644,9.425986035,7.561903155,132.0345144,6.668776818,1010.341642,4,5000,1,1.856,0.954,1514.418397,4,5000,1500,0.954,1.856,1510.281466,4,5000,1500,1.856,1.856,5,5000,500,5,5000,1500,5,5000,3000,2507.601934,6,5000,3000,4.62117929,5.062659994,0.176056933,2509.118724,6,9000,3000,8.612070337,9.046996673,0.173338285,5,118.2415537,4,124.0651191,2829.659282,5,1,4.81269606,52,55,1.908021659,0.000801,9.998,2.425001558,56.5,79,1.69879798,0.000946,10.008,1452,622,1452,622
FXLH,R118,FTPZT021PPHH,R118-EVT,R118-EVT_E1ATH-M5,,FXLH_F05-4FT-02_1_QT1,PASS,12-16-08:28:52,12-16-08:35:05,372.59,V1.2.8.0,PASS,FTPZT021PPHH,11.07683707,3.291987861,-0.021190131,0.204862658,0.198883876,-36.85793098,TH THAI,02 01 01 21 49 16 16,DLX9493004BN6R54N,DLX9493004BN6R54N,C4P9454000FJCPX3K,WCT-JC0007,R118-EVT_E1ATH-M5_C02183,R118-EVT,E1ATH-M5,C02183,R118-EVT_E1ATH-M5,DLX949200DSMW0138,GV294810026N3LN51,FM7944603CPN0LH2V+02J,CR19472015VMW5D1V,DKB94960063PQGL0D,33,4,624,1301,258," ""1.0.29""",0,3,4805.242015,8.774994749,0.219335393,2.813271056,16.78189551,218.0403928,80.3948926,18.86440472,0.245238748,2.827335641,3.089633344,3.409323742,0.498558845,2.862465057,8997.834392,10.08870475,7.402338038,15.71575773,8.222735705,7.418959586,9.272677518,7.462771689,130.7363146,6.517522119,1013.783255,4,5000,1,1.838,0.944,1511.843614,4,5000,1500,0.944,1.838,1510.140362,4,5000,1500,1.838,1.838,5,5000,500,5,5000,1500,5,5000,3000,2508.610221,6,5000,3000,4.660983888,5.062682357,0.160127893,2507.067492,6,9000,3000,8.648481873,9.046974316,0.158947633,5,116.6002844,4,121.3130568,2828.429365,5,1,4.812725876,55,54,1.903466748,0.000323,9.993,2.424994104,55.5,75,1.693146889,0.000506,9.992,1452,622,1452,622
FXLH,R118,FTPZV01BPPHG,R118-EVT,R118-EVT_E1ATW,,FXLH_F05-4FT-02_1_QT1,PASS,12-16-08:35:27,12-16-08:41:31,363.89,V1.2.8.0,PASS,FTPZV01BPPHG,11.07236322,3.273362074,-0.020810805,0.205464865,0.19954267,-36.86651064,TA TAIWANESE,02 01 01 12 49 16 16,DLX949700D3N6R54Z,DLX949700D3N6R54Z,C4P94540022JCPW3T,WMT-JC0011,R118-EVT_E1ATW_C02550,R118-EVT,E1ATW,C02550,R118-EVT_E1ATW,DLX949700VAMW0135,GV294930008N3LN50,FM7944603LTN0LH21+02J,CR1947201HPMW5D1Z,DKB9503005YPQGL0G,33,4,624,1301,258," ""1.0.29""",0,3,4805.227107,8.776930986,0.22111852,2.808253728,16.75858297,220.1055821,81.22439448,19.10752804,0.246455067,2.824086963,3.114102151,3.245731292,0.509164879,2.856859807,8998.527448,10.32141964,7.532970993,15.76594923,8.325153148,7.544445897,9.357217991,7.585964976,131.8577264,6.663019384,1010.325163,4,5000,1,1.78,0.876,1513.239151,4,5000,1500,0.876,1.786,1509.787114,4,5000,1500,1.806,1.806,5,5000,500,5,5000,1500,5,5000,3000,2508.19409,6,5000,3000,4.664412749,5.062689811,0.158790368,2507.128733,6,9000,3000,8.650300214,9.047019029,0.158236316,5,117.75867,4,122.4463858,2823.196625,5,1,4.812725876,55,53,1.89752539,0.000209,10.029,2.425061191,56.5,76,1.696704086,2.00E-06,10.024,1452,622,1452,622
FXLH,R118,FTPZV03VPPHF,R118-EVT,R118-EVT_E1AEN-3,,FXLH_F05-4FT-02_1_QT1,PASS,12-16-08:55:45,12-16-09:01:55,370.18,V1.2.8.0,PASS,FTPZV03VPPHF,11.09335397,3.262534019,-0.021419228,0.2055604,0.199581617,-36.74881739,US ENGLISH,02 01 01 05 49,DLX9503006NN6R54X,DLX9503006NN6R54X,C4P945700G8JCPP3H,WMT-JC000E,R118-EVT_E1AEN-3_C02455,R118-EVT,E1AEN-3,C02455,R118-EVT_E1AEN-3,DLX949200BBMW013V,GV29493002NN3LN5E,FM7944602P5N0LH2F+02J,C479473032WMW5D2L,DKB95030040PQGL0H,33,4,624,1301,258," ""1.0.29""",0,3,4804.824589,8.978820147,0.222448468,2.820683657,16.72904614,219.0082263,81.56375747,18.73151503,0.248113376,2.804502406,3.122566981,3.47573823,0.527970688,2.855684452,8998.490187,10.11925166,7.334612931,15.52689421,8.162853869,7.35640606,9.226286893,7.391736063,131.1481446,6.445073064,1008.931888,4,5000,1,1.76,0.842,1513.248577,4,5000,1500,0.868,1.76,1509.360697,4,5000,1500,1.76,1.76,5,5000,500,5,5000,1500,5,5000,3000,2508.518692,6,5000,3000,4.669682759,5.062779259,0.156704633,2506.847932,6,9000,3000,8.655583837,9.047227691,0.156229602,5,118.0519868,4,122.860803,2832.797435,5,1,4.812785509,55,53,1.897609705,0.000956,9.989,2.425083553,56.5,80,1.695634085,0.000174,9.989,1452,622,1452,622