QT1,V1.1.7.6_forCYG - All,,,,,,,,,,,Parametric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,2V5 MCU AID FALL Time 2V5FALLTIME,2V5 MCU AID RISE Time 2V5RISETIME,2V5 MCU BITS PERIOD 2V5PERIOD,2V5 MCU VOH 2V5VOH,2V5 MCU VOL 2V5VOL,2V5 P203 VOLTAGE 2V5 P203 VOLTAGE,2V5 P203 VOLTAGE [P203] FLAGS ~RO sendCommand,4V8 MCU AID FALL TIME 4V8FALLTIME,4V8 MCU AID RISE TIME 4V8RISETIME,4V8 MCU BITS PERIOD 4V8PERIOD,4V8 MCU VOH 4V8VOH,4V8 MCU VOL 4V8VOL,4V8 P203 VOLTAGE 4V8 P203 VOLTAGE,5V 1.5A Charge Capability ChargeCapability_1A5,5V 1.5A Charge Mode ChargeMode_1A5,5V 1.5A Charge Voltage ChargeVoltage_1A5,5V 1.5A Curr CC Rp = 22kohm CurrCharge 5V 1.5A,5V 1.5A DUT Input Voltage DUTinput_1A5,5V 1.5A Orion Power Voltage OrionPower_1A5,5V 2.5A Charge Capability ChargeCapability_2A5,5V 2.5A Charge Mode ChargeMode_2A5,5V 2.5A Charge Voltage ChargeVoltage_2A5,5V 2.5A Curr CC Rp = 10kohm CurrCharge 5V 2.5A,5V 2.5A DUT Input Voltage DUTinput_2A5,5V 2.5A Orion Power Voltage OrionPower_2A5,9V 2.5A Charge Capability ChargeCapability9V_2A5,9V 2.5A Charge Mode ChargeMode9V_2A5,9V 2.5A Charge Voltage ChargeVoltage9V_2A5,9V 2.5A Curr USBC PD CurrUSBC9VTo2A5,9V 2.5A DUT Input Voltage DUTinput9V_2A5,9V 2.5A Orion Power Voltage OrionPower9V_2A5,Atlas Hyperion Closed,"BL Critical errors $#@!(CMD_FAIL:  TOUCH_POINT_off_2 """")",BL Critical errors BL_CRI_ERR_PART1,Brick ID brickID_capability,Brick ID brickID_dn_voltage,Brick ID brickID_dp_voltage,Brick ID brickID_mode,Brick ID brickID_voltage,Check MLB SN ItemCheckSN fail,Critical summary CRIT_ERR_E0_PART1,FW Update critical errors CRIT_ERR_E2_PART1,FW Update critical errors CRIT_ERR_E2_PART2,FW Update critical errors CRIT_ERR_E2_PART3,GRAPE critical errors CRIT_ERR_E5_PART1,GRAPE critical errors CRIT_ERR_E5_PART2,GRAPE critical errors CRIT_ERR_E5_PART3,GRAPE critical errors CRIT_ERR_E5_PART4,GRAPE critical errors CRIT_ERR_E5_PART5,GRAPE critical errors CRIT_ERR_E5_PART6,GRAPE critical errors CRIT_ERR_E5_PART7,GRAPE critical errors CRIT_ERR_E5_PART8,GRAPE critical errors CRIT_ERR_E5_PART9,GRAPE critical errors CRIT_ERR_E5_PART10,GreenPAK ID GREEN_PAK_PART1,KBD HW Layout KBD_HW_Layout,KeyScan critical errors CRIT_ERR_E7_PART1,KeyScan critical errors CRIT_ERR_E7_PART2,KeyScan critical errors CRIT_ERR_E7_PART3,KeyScan critical errors CRIT_ERR_E7_PART4,Orion Power SYS CURRENT ALL RAILS SYS CURRENT ALL RAILS,Orion Power SYS CURRENT BLC ONLY CurrBacklight,Orion Power SYS CURRENT Energy storage CurrBackupDisBoostEn,Orion Power SYS CURRENT Energy storage ONLY CurrEnergy,Orion Power SYS CURRENT IDLE SYS CURRENT IDLE,Orion Power SYS CURRENT MFI ONLY CurrMFI,Orion Power SYS CURRENT TOUCH ONLY CurrTouch,Orion Power SYS CURRENT USBC Alt power ONLY CurrUSB,Orion Power SysTem Curr Leds to 0% Brightness Sys_led_percent0,Orion Power SysTem Curr Leds to 1% Brightness Sys_led_percent1,Orion Power SysTem Curr Leds to 100% Brightness Sys_led_percent100,Orion Power SysTem Curr Leds to PD 50% Brightnes Sys_led_percent50,PHASE3 ORIONPWR DUT MODE STATUS_READ_F0_PART1,PHASE3 ORIONPWR DUT MODE STATUS_READ_F2_PART1,PPORION OVP OUT 5V2 CURR Read_Orin_Curr_5V2,PPORION OVP OUT 16V CURR Read_Orin_Curr_16V,PPORION OVP OUT -16V CURR Read_Orin_Curr_minus16V,Production signed check Production_signed_check,Read HW Version READ_HW_VERSION,Read MFI Address Read_MFI_Address,STFW STFW,SYS IDBUS 6V VBUS 0V CURR MeasSysCurr6To0,SYS IDBUS 6V VBUS 5V2 CURR MeasSysCurr6To5V2,SYS IDBUS -4V VBUS 0V CURR SYS_IDBUS_-4V_VBUS_0V_CURR,SYS IDBUS -4V VBUS 0V VOL SYS IDBUS -4V VBUS 0V VOL,System critical errors CRIT_ERR_E1_PART1,System critical errors CRIT_ERR_E1_PART2,System Curr caps lock LED is off SystemCurrentLockOff,System Curr caps lock LED is on SystemCurrentLockOn,TOUCH FW TOUCH_FW,USB-C Power SYS CURRENT ALL RAILS USBC SYS CURRENT ALL RAILS,USB-C Power SYS CURRENT BLC ONLY Usbc_CurrBacklight,USB-C Power SYS CURRENT Capslock ONLY Usbc_CurrCapsLock,USB-C Power SYS CURRENT IDLE (USB-C Power) SYS CURRENT IDLE,USB-C Power SYS CURRENT MFI ONLY Usbc_CurrMFI,USB-C Power SYS CURRENT TOUCH ONLY Usbc_CurrTouch,USB-C Power SysTem Curr Leds to 0% Brightness Usbc_Sys_led_percent0,USB-C Power SysTem Curr Leds to 1% Brightness Usbc_Sys_led_percent1,USB-C Power SysTem Curr Leds to 100% Brightness Usbc_Sys_led_percent100,USB-C Power SysTem Curr Leds to PD 50% Brightnes Usbc_Sys_led_percent50,"USBC critical errors $#@!(CMD_FAIL:  USBC_ERR """")",USBC critical errors CRIT_ERR_E3_PART1,USBC critical errors CRIT_ERR_E3_PART2,USBC critical errors CRIT_ERR_E3_PART3,USBC critical errors CRIT_ERR_E3_PART4,USBC Power On Measure Voltage USBCPowerOnPD_Voltage,Write And Read 0x01 Read0x01_PART1
Display Name ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
Upper Limit ----->,,,,,,,,,,,,120,120,NA,1.95,0.1,2.7,NA,120,120,NA,1.95,0.1,4.93,500,1,5000,1520,5050,4750,500,1,5000,2525,5050,4500,3000,6,9000,2525,9050,8500,NA,NA,NA,1500,2000,2000,4,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.6,4.2,1.85,1.85,1.65,1.65,14.5,3.96,4.2,6.75,220,68,NA,NA,15,11.5,0.1,0,3,16,352,0.22,0.23,-25,-3.9,NA,NA,1.65,21,1285,33,7.4,24,4.7,4.7,18,7.5,10,240,69,NA,NA,NA,NA,NA,5050,NA
Lower Limit ----->,,,,,,,,,,,,0,0,NA,1.5,0,2.25,NA,0,0,NA,1.5,0,4.7,500,1,5000,1490,4950,4500,500,1,5000,2475,4950,4250,3000,6,9000,2475,8950,8250,NA,NA,NA,1500,1300,1300,4,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,2.9,0.9,0.9,0.5,0.5,10.9,2.6,2.9,5.75,195,58,NA,NA,4.5,10.5,-0.3,0,3,16,352,0.19,0.19,-35,-4.1,NA,NA,0.5,18,1285,24,5.7,21,3.2,3.2,14.5,5.5,8.5,210,60,NA,NA,NA,NA,NA,4950,NA
Measurement Unit ----->,,,,,,,,,,,,ns,ns,us,V,V,V,NA,ns,ns,us,V,V,V,NA,NA,mV,mA,mV,mV,NA,NA,NA,mA,mV,mV,mA,NA,mA,mA,mV,mV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,NA,mA,mA,mA,NA,NA,NA,NA,mA,mA,mA,V,NA,NA,mA,mA,NA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,NA,NA,NA,NA,mV,NA
FXLH,R118,FTPZF001P3HT,R118-P2,R118-P2_P21IAR-M7,,FXLH_F05-4FT-02_5_QT1,PASS,2019/9/28 10:50,2019/9/28 10:55,V1.1.7.6_forCYG,,105,74,10.008,1.682119597,0.000844,2.434863114,,92,102,10.004,1.858239773,0.00062,4.833626729,500,1,5000,1503.518142,4986.464452,4575.299372,500,1,5000,2501.338318,4979.189305,4315.376849,3000,6,9000,2502.196341,8981.342098,8323.206974,,,0,1500,1870,1870,4,5000,,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,13,0,0,0,0,28.21760022,3.547726746,1.189971047,1.191486784,0.941607855,0.861078016,12.30829849,3.37133323,3.494214242,6.288835617,209.3114925,59.44672485,1,4,10.81783892,10.9499183,-0.095264327,0,3,16,352,0.19972445,0.205704697,-27.94482559,-3.979223801,8704,0,0.953591117,19.56360867,1285,28.46196254,6.53840753,22.55841119,3.935129135,3.936306429,15.78300442,6.516532094,9.340148273,219.932173,63.63754973,,0,0,0,0,4999.069241,1
FXLH,R118,FTPZF001P3HT,R118-P2,R118-P2_P21IAR-M7,,FXLH_F05-4FT-02_5_QT1,PASS,2019/9/28 11:01,2019/9/28 11:07,V1.1.7.6_forCYG,,105,74,10.002,1.677904954,0.000333,2.435064373,,95,101,10.006,1.856437223,0.000823,4.83370127,500,1,5000,1503.848323,4986.09175,4585.615769,500,1,5000,2501.874402,4978.637706,4315.011601,3000,6,9000,2502.90084,8980.738469,8324.183215,,,0,1500,1870,1870,4,5000,,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,13,0,0,0,0,28.18311057,3.557033899,1.186100722,1.21931638,0.942833499,0.870740533,13.0733223,3.375498483,3.483966704,6.280120737,209.2247679,59.456779,1,4,10.81624824,10.95270561,-0.099154039,0,3,16,352,0.199675614,0.205674053,-27.95209976,-3.979254943,8704,0,0.957874825,19.56621951,1285,28.47607315,6.519278309,22.51682393,3.926247451,3.921992753,15.46430816,6.531087515,9.301727861,219.9793154,63.62979941,,0,0,0,0,4998.80835,1
FXLH,R118,FTPZF001P3HT,R118-P2,R118-P2_P21IAR-M7,,FXLH_F05-4FT-02_5_QT1,PASS,2019/9/28 11:07,2019/9/28 11:12,V1.1.7.6_forCYG,,103,74,10.003,1.680697239,0.0005,2.434594769,,92,98,10.003,1.854975549,0.000584,4.833798172,500,1,5000,1503.829804,4986.121566,4565.855098,500,1,5000,2501.66667,4978.809149,4308.608577,3000,6,9000,2502.971955,8980.872609,8321.001118,,,0,1500,1883,1870,4,5000,,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,13,0,0,0,0,28.04436388,3.578718357,1.192516614,1.209733639,0.926201495,0.864677587,12.60042465,3.390479373,3.481058521,6.280077223,209.3495081,59.45427453,1,4,10.79573141,10.9487821,-0.099441718,0,3,16,352,0.199638499,0.205618014,-27.95230283,-3.979174122,8704,0,0.924381161,19.55685675,1285,28.44898813,6.531319589,22.52571045,3.923211144,3.915557521,15.7883373,6.517610273,9.270409896,219.9859108,63.6465958,,0,0,0,0,4998.84562,1
FXLH,R118,FTPZF003P3HT,R118-P2,R118-P2_P21IAR-M7,,FXLH_F05-4FT-02_5_QT1,PASS,2019/9/28 10:22,2019/9/28 10:27,V1.1.7.6_forCYG,,105,72,10,1.677821754,0.000294,2.434527682,,93,102,9.998,1.855276099,0.00043,4.833663999,500,1,5000,1504.217053,4986.852063,4623.668665,500,1,5000,2501.730307,4979.889985,4372.445012,3000,6,9000,2502.820693,8982.325791,8374.27702,,,0,1500,1896,1896,4,5000,,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,13,0,0,0,0,27.70631116,3.560128225,1.186538279,1.223225384,0.92632962,0.883463532,12.91351002,3.329663776,3.51954662,6.262311439,209.2806526,59.13329136,1,4,10.85557761,10.95503119,-0.100771327,0,3,16,352,0.19928273,0.205190395,-27.9669648,-3.979913379,8704,0,0.928602016,19.27525373,1285,28.24656118,6.669348295,22.34470445,4.073435846,4.018165862,15.85506354,6.641634736,9.398822016,220.3542999,63.43015251,,0,0,0,0,4999.121419,1
FXLH,R118,FTPZF003P3HT,R118-P2,R118-P2_P21IAR-M7,,FXLH_F05-4FT-02_5_QT1,PASS,2019/9/28 10:28,2019/9/28 10:33,V1.1.7.6_forCYG,,106,75,10.001,1.676973989,0.000684,2.435079281,,90,99,9.997,1.855589573,0.000135,4.833827988,500,1,5000,1503.443354,4986.904241,4629.669171,500,1,5000,2501.827939,4979.957072,4381.911648,3000,6,9000,2502.890189,8982.310887,8383.04828,,,0,1500,1896,1896,4,5000,,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,13,0,0,0,0,27.83806419,3.55308138,1.18796457,1.184925845,0.929143523,0.883325738,12.81550933,3.321137457,3.493890304,6.231854083,209.1140672,59.12194631,1,4,9.77030313,10.96434076,-0.094853357,0,3,16,352,0.199331383,0.205298017,-27.96261335,-3.979390634,8704,0,0.938208931,19.28359874,1285,28.26697164,6.631358188,22.340428,4.015078788,4.008230174,16.03891729,6.621018787,9.360846414,220.2256068,63.4008652,,0,0,0,0,4999.151236,1
FXLH,R118,FTPZF003P3HT,R118-P2,R118-P2_P21IAR-M7,,FXLH_F05-4FT-02_5_QT1,PASS,2019/9/28 10:34,2019/9/28 10:39,V1.1.7.6_forCYG,,103,72,10.003,1.681018601,0.000495,2.434773666,,89,100,10,1.8551704,0.00072,4.834111242,500,1,5000,1504.316704,4986.963873,4627.134796,500,1,5000,2501.898943,4979.994342,4378.520058,3000,6,9000,2502.974485,8982.295982,8379.985418,,,0,1500,1896,1896,4,5000,,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,13,0,0,0,0,27.82454827,3.554601952,1.176733133,1.193483324,0.933671392,0.865750932,12.50073174,3.306710161,3.508332105,6.245797891,209.1784887,59.11284705,1,4,10.87540064,10.96057922,-0.096709975,0,3,16,352,0.199284073,0.205201444,-27.96595671,-3.979434382,8704,0,0.929005728,19.28296537,1285,28.30326471,6.642754012,22.33380904,4.008781351,4.01760985,16.36724705,6.642538859,9.329617894,220.1928618,63.39038317,,0,0,0,0,4999.121419,1
FXLH,R118,FTPZF004P3HT,R118-P2,R118-P2_P21IAR-M7,,FXLH_F05-4FT-02_1_QT1,PASS,2019/9/28 10:24,2019/9/28 10:30,V1.1.7.6_forCYG,,106,76,10.003,1.673546884,0.003139,2.385710933,,90,103,9.998,1.859456642,0.003689,4.813145016,500,1,5000,1505.833205,4986.999982,4586.019392,500,1,5000,2504.191196,4978.901706,4311.433231,3000,6,9000,2505.258727,8979.492685,8304.994319,,,0,1500,1902,1902,4,5000,,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,13,0,0,0,0,28.50697414,3.829089126,1.422719237,1.459189933,1.276482368,1.092586439,13.09937108,3.584819377,3.695378601,6.435397881,209.9834134,59.56453651,1,4,10.79402923,10.98101006,-0.109583968,0,3,16,352,0.198634644,0.198654756,-27.86616856,-3.978312506,8704,0,1.25150729,20.03820352,1285,28.65612857,6.592252431,22.75664305,4.006349611,3.97584257,16.1124234,6.614540348,9.281501825,221.040628,63.66803548,,0,0,0,0,4998.642657,1
FXLH,R118,FTPZF004P3HT,R118-P2,R118-P2_P21IAR-M7,,FXLH_F05-4FT-02_1_QT1,PASS,2019/9/28 10:30,2019/9/28 10:36,V1.1.7.6_forCYG,,106,79,10.001,1.676421583,0.002875,2.384723885,,89,101,9.997,1.858093604,0.003712,4.813137538,500,1,5000,1505.864733,4987.089714,4618.143303,500,1,5000,2504.382295,4978.744676,4362.206359,3000,6,9000,2505.384695,8979.365593,8361.811809,,,0,1500,1902,1902,4,5000,,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,13,0,0,0,0,28.48814946,3.769641747,1.413413607,1.395054572,1.250959187,1.09634798,12.91506528,3.497864972,3.692359183,6.429133497,209.6228175,59.54592767,1,4,10.76674048,10.8618558,-0.129713467,0,3,16,352,0.198415073,0.204247533,-28.01983182,-3.978169418,8704,0,1.145667575,19.96305031,1285,28.68698727,6.578945162,22.85040994,3.984420629,4.02392287,15.98050027,6.562822195,9.316189972,221.005142,63.74267696,,0,0,0,0,4998.79221,1
FXLH,R118,FTPZF004P3HT,R118-P2,R118-P2_P21IAR-M7,,FXLH_F05-4FT-02_1_QT1,PASS,2019/9/28 10:36,2019/9/28 10:41,V1.1.7.6_forCYG,,109,76,9.994,1.675343734,0.002983,2.385434261,,92,103,9.998,1.858915883,0.003267,4.812898254,500,1,5000,1506.027938,4986.760698,4624.207663,500,1,5000,2503.853449,4978.497914,4372.675045,3000,6,9000,2505.460244,8979.305786,8372.233333,,,0,1500,1902,1902,4,5000,,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,13,0,0,0,0,28.51539698,3.754872061,1.429975542,1.428229372,1.218625943,1.089120777,12.99058227,3.524520739,3.684295274,6.410968481,209.5533517,59.52785239,1,4,10.79541889,10.86921397,-0.127567129,0,3,16,352,0.19838188,0.20431997,-28.0156119,-3.978210194,8704,0,1.225176505,19.95607533,1285,28.6613986,6.575763253,22.76418068,3.985121522,4.027885705,16.40410651,6.567827882,9.29163446,221.014373,63.66734914,,0,0,0,0,4998.582836,1