QT1,V1.1.6.6_forCYG - All,,,,,,,,,,,Parametric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,2V5 MCU AID FALL Time 2V5FALLTIME,2V5 MCU AID RISE Time 2V5RISETIME,2V5 MCU BITS PERIOD 2V5PERIOD,2V5 MCU VOH 2V5VOH,2V5 MCU VOL 2V5VOL,2V5 P203 VOLTAGE 2V5 P203 VOLTAGE,4V8 MCU AID FALL TIME 4V8FALLTIME,4V8 MCU AID RISE TIME 4V8RISETIME,4V8 MCU BITS PERIOD 4V8PERIOD,4V8 MCU VOH 4V8VOH,4V8 MCU VOL 4V8VOL,4V8 P203 VOLTAGE 4V8 P203 VOLTAGE,5V 1.5A Charge Capability ChargeCapability_1A5,5V 1.5A Charge Mode ChargeMode_1A5,5V 1.5A Charge Voltage ChargeVoltage_1A5,5V 1.5A Curr CC Rp = 22kohm CurrCharge 5V 1.5A,5V 1.5A DUT Input Voltage DUTinput_1A5,5V 1.5A Orion Power Voltage OrionPower_1A5,5V 2.5A Charge Capability ChargeCapability_2A5,5V 2.5A Charge Mode ChargeMode_2A5,5V 2.5A Charge Voltage ChargeVoltage_2A5,5V 2.5A Curr CC Rp = 10kohm CurrCharge 5V 2.5A,5V 2.5A DUT Input Voltage DUTinput_2A5,5V 2.5A Orion Power Voltage OrionPower_2A5,9V 2.5A Charge Capability ChargeCapability9V_2A5,9V 2.5A Charge Mode ChargeMode9V_2A5,9V 2.5A Charge Voltage ChargeVoltage9V_2A5,9V 2.5A Curr USBC PD CurrUSBC9VTo2A5,9V 2.5A DUT Input Voltage DUTinput9V_2A5,9V 2.5A Orion Power Voltage OrionPower9V_2A5,BL Critical errors BL_CRI_ERR_PART1,Critical summary CRIT_ERR_E0_PART1,FW Update critical errors CRIT_ERR_E2_PART1,FW Update critical errors CRIT_ERR_E2_PART2,FW Update critical errors CRIT_ERR_E2_PART3,GRAPE critical errors CRIT_ERR_E5_PART1,GRAPE critical errors CRIT_ERR_E5_PART2,GRAPE critical errors CRIT_ERR_E5_PART3,GRAPE critical errors CRIT_ERR_E5_PART4,GRAPE critical errors CRIT_ERR_E5_PART5,GRAPE critical errors CRIT_ERR_E5_PART6,GRAPE critical errors CRIT_ERR_E5_PART7,GRAPE critical errors CRIT_ERR_E5_PART8,GRAPE critical errors CRIT_ERR_E5_PART9,GRAPE critical errors CRIT_ERR_E5_PART10,GreenPAK ID GREEN_PAK_PART1,KBD HW Layout KBD_HW_Layout,KeyScan critical errors CRIT_ERR_E7_PART1,KeyScan critical errors CRIT_ERR_E7_PART2,KeyScan critical errors CRIT_ERR_E7_PART3,KeyScan critical errors CRIT_ERR_E7_PART4,Orion Power SYS CURRENT ALL RAILS SYS CURRENT ALL RAILS,Orion Power SYS CURRENT BLC ONLY CurrBacklight,Orion Power SYS CURRENT Energy storage CurrBackupDisBoostEn,Orion Power SYS CURRENT Energy storage ONLY CurrEnergy,Orion Power SYS CURRENT IDLE SYS CURRENT IDLE,Orion Power SYS CURRENT MFI ONLY CurrMFI,Orion Power SYS CURRENT TOUCH ONLY CurrTouch,Orion Power SYS CURRENT USBC Alt power ONLY CurrUSB,Orion Power SysTem Curr Leds to 0% Brightness Sys_led_percent0,Orion Power SysTem Curr Leds to 1% Brightness Sys_led_percent1,Orion Power SysTem Curr Leds to 100% Brightness Sys_led_percent100,Orion Power SysTem Curr Leds to PD 50% Brightnes Sys_led_percent50,PHASE3 ORIONPWR DUT MODE STATUS_READ_F0_PART1,PHASE3 ORIONPWR DUT MODE STATUS_READ_F2_PART1,PPORION OVP OUT 5V2 CURR Read_Orin_Curr_5V2,PPORION OVP OUT 16V CURR Read_Orin_Curr_16V,PPORION OVP OUT -16V CURR Read_Orin_Curr_minus16V,Production signed check Production_signed_check,Read HW Version READ_HW_VERSION,Read MFI Address Read_MFI_Address,Start Control Bit $#@!(com.apple.hwte.rush.module.atlas.exception.PluginFailedErro,Start Control Bit CB Error Could not set INCOMPLETE CB,STFW STFW,SYS IDBUS 6V VBUS 0V CURR MeasSysCurr6To0,SYS IDBUS 6V VBUS 5V2 CURR MeasSysCurr6To5V2,SYS IDBUS -4V VBUS 0V CURR SYS_IDBUS_-4V_VBUS_0V_CURR,SYS IDBUS -4V VBUS 0V VOL SYS IDBUS -4V VBUS 0V VOL,System critical errors CRIT_ERR_E1_PART1,System critical errors CRIT_ERR_E1_PART2,System Curr caps lock LED is off SystemCurrentLockOff,System Curr caps lock LED is on SystemCurrentLockOn,TOUCH FW TOUCH_FW,Tristar To CCG3 PID PID,Tristar To CCG3 VID VID,USB-C Power SYS CURRENT ALL RAILS USBC SYS CURRENT ALL RAILS,USB-C Power SYS CURRENT BLC ONLY Usbc_CurrBacklight,USB-C Power SYS CURRENT Capslock ONLY Usbc_CurrCapsLock,USB-C Power SYS CURRENT IDLE (USB-C Power) SYS CURRENT IDLE,USB-C Power SYS CURRENT MFI ONLY Usbc_CurrMFI,USB-C Power SYS CURRENT TOUCH ONLY Usbc_CurrTouch,USB-C Power SysTem Curr Leds to 0% Brightness Usbc_Sys_led_percent0,USB-C Power SysTem Curr Leds to 1% Brightness Usbc_Sys_led_percent1,USB-C Power SysTem Curr Leds to 100% Brightness Usbc_Sys_led_percent100,USB-C Power SysTem Curr Leds to PD 50% Brightnes Usbc_Sys_led_percent50,USBC critical errors CRIT_ERR_E3_PART1,USBC critical errors CRIT_ERR_E3_PART2,USBC critical errors CRIT_ERR_E3_PART3,USBC critical errors CRIT_ERR_E3_PART4,USBC Power On Measure Voltage USBCPowerOnPD_Voltage,Write And Read 0x01 Read0x01_PART1
Display Name ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Limit ----->,,,,,,,,,,,,120,120,NA,1.95,0.1,2.7,120,120,NA,1.95,0.1,4.93,500,1,5000,1520,5050,4750,500,1,5000,2525,5050,4500,3000,6,9000,2525,9050,8500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.6,4.2,1.85,1.85,1.65,1.65,14.5,3.96,4.2,6.75,220,68,NA,NA,15,11.5,0.1,0,3,16,NA,NA,352,0.22,0.23,-25,-3.9,NA,NA,1.65,21,1285,65280,1452,33,7.4,24,4.7,4.7,18,7.5,10,240,69,NA,NA,NA,NA,5050,NA
Lower Limit ----->,,,,,,,,,,,,0,0,NA,1.5,0,2.25,0,0,NA,1.5,0,4.7,500,1,5000,1490,4950,4500,500,1,5000,2475,4950,4250,3000,6,9000,2475,8950,8250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,2.9,0.9,0.9,0.5,0.5,10.9,2.6,2.9,5.75,195,58,NA,NA,4.5,10.5,-0.3,0,3,16,NA,NA,352,0.19,0.19,-35,-4.1,NA,NA,0.5,18,1285,65280,1452,24,5.7,21,3.2,3.2,14.5,5.5,8.5,210,60,NA,NA,NA,NA,4950,NA
Measurement Unit ----->,,,,,,,,,,,,ns,ns,us,V,V,V,ns,ns,us,V,V,V,NA,NA,mV,mA,mV,mV,NA,NA,NA,mA,mV,mV,mA,NA,mA,mA,mV,mV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,NA,mA,mA,mA,NA,NA,NA,NA,NA,NA,mA,mA,mA,V,NA,NA,mA,mA,NA,NA,NA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,NA,NA,NA,mV,NA
FXLH,R118,FTPZF003P3HT,R118-P2,R118-P2_P21IAR-M7,,FXLH_F05-4FT-02_1_QT1,PASS,2019/9/26 18:00,2019/9/26 18:05,V1.1.6.6_forCYG,,106,80,10.001,1.682032176,0.003078,2.417161857,90,99,10.001,1.859600034,0.00394,4.812486984,500,1,5000,1504.392864,4987.059804,4623.100974,500,1,5000,2504.089535,4978.864318,4370.962667,3000,6,9000,2504.95368,8980.13562,8370.939987,0,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,13,0,0,0,0,27.80266626,3.564532279,1.165780055,1.184498025,0.913953271,0.846342547,12.89957045,3.313086257,3.475642537,6.207437842,209.1123198,59.12314844,1,4,10.81163645,10.8129388,-0.134544546,0,3,16,,,352,0.198420147,0.204289223,-28.01247121,-3.978847047,8704,0,0.920773034,19.25457345,1285,,,27.1342349,6.542035499,22.28008422,3.903771838,3.918704014,16.18049735,6.580754388,9.233239632,220.5374405,63.3882433,0,0,0,0,4998.478149,1
FXLH,R118,FTPZF003P3HT,R118-P2,R118-P2_P21IAR-M7,,FXLH_F05-4FT-02_1_QT1,PASS,2019/9/26 18:06,2019/9/26 18:11,V1.1.6.6_forCYG,,103,77,9.998,1.678887199,0.003108,2.389591824,91,96,9.998,1.859640943,0.003611,4.812771134,500,1,5000,1505.789372,4986.887818,4623.504766,500,1,5000,2504.189682,4978.378272,4371.172041,3000,6,9000,2505.304805,8979.253454,8370.73066,0,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,13,0,0,0,0,27.81666472,3.543878971,1.174469675,1.164965176,0.900493212,0.836323898,12.96477049,3.305330353,3.474468723,6.207794351,209.1717081,59.1345325,1,4,10.84798345,10.82943768,-0.133894582,0,3,16,,,352,0.198460124,0.20436496,-27.97656067,-3.97815978,8704,0,0.900466534,19.25119753,1285,,,28.15131088,6.546015311,22.27127818,3.923382294,3.916172068,16.15900248,6.525556022,9.224751307,220.4476523,63.37852053,0,0,0,0,4998.650135,1
FXLH,R118,FTPZF003P3HT,R118-P2,R118-P2_P21IAR-M7,,FXLH_F05-4FT-02_1_QT1,PASS,2019/9/26 18:11,2019/9/26 18:16,V1.1.6.6_forCYG,,102,78,10.003,1.678959134,0.002561,2.386735369,93,100,9.998,1.860629864,0.003281,4.812875821,500,1,5000,1505.920358,4987.149535,4621.111923,500,1,5000,2503.322532,4978.961527,4367.470613,3000,6,9000,2504.963919,8979.87396,8367.351514,0,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,13,0,0,0,0,27.81912149,3.530173964,1.163058941,1.171384775,0.905617735,0.838028839,12.94744218,3.309188903,3.478569796,6.204927723,209.1368721,59.11978221,1,4,10.03514627,10.8437781,-0.125362585,0,3,16,,,352,0.198600535,0.204402126,-27.98695283,-3.978258385,8704,0,0.909330771,19.26481522,1285,,,28.18166756,6.56009623,22.26173003,3.961460922,3.912830093,15.86116655,6.574892593,9.241221083,220.5111734,63.34586715,0,0,0,0,4998.642657,1
FXLH,R118,FTPZF005P3HT,R118-P2,R118-P2_P21IAR-M7,,FXLH_F05-4FT-02_6_QT1,PASS,2019/9/26 17:53,2019/9/26 17:58,V1.1.6.6_forCYG,,103,70,10.004,1.708035738,0.008303,2.399078776,89,94,10.008,1.885946827,0.008022,4.833894991,500,1,5000,1504.834352,4991.566526,4624.725028,500,1,5000,2502.405284,4986.951276,4374.785785,3000,6,9000,2502.838012,8987.633862,8374.93262,0,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,13,0,0,0,0,28.51226413,3.874812747,1.545056581,1.535973509,1.273591354,1.209480664,13.46288145,3.636927583,3.810955774,6.540200405,212.650687,60.86073429,1,4,10.00626369,10.96243891,-0.117600782,0,3,16,,,352,0.198497414,0.204363466,-27.99339342,-3.980495138,8704,0,1.27398522,20.00437791,1285,65280,1452,28.90090559,6.894215515,22.96888837,4.255291759,4.252007935,16.73384594,6.846407962,9.540970671,223.6255498,65.14394306,0,0,0,0,4998.739175,1
FXLH,R118,FTPZF005P3HT,R118-P2,R118-P2_P21IAR-M7,,FXLH_F05-4FT-02_6_QT1,PASS,2019/9/26 17:59,2019/9/26 18:04,V1.1.6.6_forCYG,,104,69,10.009,1.709942004,0.008558,2.397192414,90,94,10.004,1.883781585,0.009009,4.834036655,500,1,5000,1504.872839,4991.462142,4623.882503,500,1,5000,2502.576889,4986.861804,4370.043784,3000,6,9000,2503.504449,8987.290971,8370.743388,0,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,13,0,0,0,0,28.499774,3.878113485,1.531491173,1.532370726,1.280349894,1.209038472,13.51551688,3.631157331,3.812154285,6.529575699,212.8122726,60.89493777,1,4,10.79055644,10.96745768,-0.116576238,0,3,16,,,352,0.198484109,0.204428527,-27.98574076,-3.979870137,8704,0,1.277890047,20.00936526,1285,65280,1452,28.89579016,6.860386566,22.95715456,4.264577805,4.254866481,16.34853905,6.845948855,9.524553966,223.6003741,65.14157504,0,0,0,0,4998.783911,1
FXLH,R118,FTPZF005P3HT,R118-P2,R118-P2_P21IAR-M7,,FXLH_F05-4FT-02_5_QT1,PASS,2019/9/26 18:05,2019/9/26 18:10,V1.1.6.6_forCYG,,103,71,10.005,1.678419588,0.000655,2.43489293,94,98,10.008,1.851729089,0.000807,4.833731086,500,1,5000,1504.526053,4986.762614,4610.802985,500,1,5000,2502.152851,4979.524737,4353.265756,3000,6,9000,2502.945328,8982.064963,8355.475075,0,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,13,0,0,0,0,27.86842726,3.895280015,1.549309348,1.548405225,1.293094303,1.225444597,13.14346439,3.647927314,3.828797933,6.537938546,212.7649642,60.87027204,1,4,10.7783089,10.98028137,-0.101897869,0,3,16,,,352,0.199077681,0.204958792,-27.96366737,-3.979880754,8704,0,1.29512012,20.02759563,1285,,,29.01757782,6.94838883,23.07294929,4.354504616,4.348671328,16.2478109,6.94381503,9.645778257,223.5955984,65.20042137,0,0,0,0,4999.203414,1
FXLH,R118,FTPZF006P3J3,R118-P2,R118-P2_P21J-LPD1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/9/26 18:05,2019/9/26 18:10,V1.1.6.6_forCYG,,103,69,10.027,1.714193381,0.008059,2.427486046,89,97,10.027,1.891181221,0.008611,4.833365617,500,1,5000,1504.647726,4991.738013,4629.534133,500,1,5000,2501.123292,4987.212235,4381.906243,3000,6,9000,2503.349811,8987.864941,8381.462455,0,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,15,0,0,0,0,28.06401607,3.600389903,1.203925468,1.228045508,1.048563607,0.931273811,12.66740098,3.396783129,3.482061075,6.202080068,208.285485,59.05041195,1,4,10.92369751,10.9663679,-0.117233493,0,3,16,,,352,0.19915779,0.205080847,-27.94286455,-3.979822688,8704,0,0.964530084,19.54515235,1285,65280,1452,28.30343562,6.507277589,22.48178776,3.901228322,3.938039051,15.69290988,6.471418904,9.140259531,219.3974005,63.14790947,0,0,0,0,4998.873383,1
FXLH,R118,FTPZF006P3J3,R118-P2,R118-P2_P21J-LPD1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/9/26 18:11,2019/9/26 18:16,V1.1.6.6_forCYG,,103,69,10.026,1.7112392,0.007658,2.397117854,88,94,10.025,1.891689248,0.008471,4.833402897,500,1,5000,1504.700092,4991.603805,4628.132409,500,1,5000,2501.11992,4987.025836,4377.932207,3000,6,9000,2503.472798,8987.492233,8376.94524,0,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,15,0,0,0,0,27.04808926,3.610432268,1.266825897,1.255316473,1.016155475,0.905612138,12.8986605,3.343202908,3.533954681,6.231487089,208.350575,58.99420757,1,4,10.92224045,10.96580006,-0.117047432,0,3,16,,,352,0.199160781,0.205115391,-27.9404675,-3.979784135,8704,0,1.011496745,19.56058802,1285,65280,1452,27.72154146,6.458921524,22.41821109,3.961789389,3.917376812,16.05289579,6.477396963,9.196538819,219.4404419,63.20470827,0,0,0,0,4998.761543,1
FXLH,R118,FTPZF006P3J3,R118-P2,R118-P2_P21J-LPD1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/9/26 18:16,2019/9/26 18:21,V1.1.6.6_forCYG,,105,73,10.026,1.716752947,0.008124,2.397177502,90,93,10.021,1.892748708,0.007902,4.833827888,500,1,5000,1504.723481,4991.603805,4631.181904,500,1,5000,2502.337525,4987.033292,4380.922054,3000,6,9000,2503.495421,8987.663679,8380.53814,0,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,15,0,0,0,0,28.09986267,3.628180384,1.206080855,1.245858865,1.041696331,0.938056515,12.56076731,3.414942025,3.562917094,6.239154179,208.3422644,59.04176866,1,4,10.20332456,10.96892923,-0.111559837,0,3,16,,,352,0.199153518,0.205078893,-27.93800038,-3.979795256,8704,0,1.020195618,19.59066678,1285,65280,1452,28.43094417,6.48052614,22.50401822,3.993622429,3.917384061,16.31020119,6.593889362,9.193158341,219.3783339,63.25023721,0,0,0,0,4998.768999,1