QT1,V2.2.6.7_forCYG - All,,,,,,,,,,,Parametric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,2V5 MCU AID FALL Time 2V5FALLTIME,2V5 MCU AID RISE Time 2V5RISETIME,2V5 MCU BITS PERIOD 2V5PERIOD,2V5 MCU VOH 2V5VOH,2V5 MCU VOL 2V5VOL,2V5 P203 VOLTAGE 2V5 P203 VOLTAGE,2V5 P203 VOLTAGE [P203] FLAGS ~RO sendCommand,4V8 MCU AID FALL TIME 4V8FALLTIME,4V8 MCU AID RISE TIME 4V8RISETIME,4V8 MCU BITS PERIOD 4V8PERIOD,4V8 MCU VOH 4V8VOH,4V8 MCU VOL 4V8VOL,4V8 P203 VOLTAGE 4V8 P203 VOLTAGE,5V 1.5A Charge Capability ChargeCapability_1A5,5V 1.5A Charge Capability,5V 1.5A Charge Mode ChargeMode_1A5,5V 1.5A Charge Mode,5V 1.5A Charge Voltage ChargeVoltage_1A5,5V 1.5A Charge Voltage,5V 1.5A Curr CC Rp = 22kohm CurrCharge 5V 1.5A,5V 1.5A Curr CC Rp = 22kohm,5V 1.5A DUT Input Voltage DUTinput_1A5,5V 1.5A Orion Power Voltage OrionPower_1A5,5V 2.5A Charge Capability ChargeCapability_2A5,5V 2.5A Charge Mode ChargeMode_2A5,5V 2.5A Charge Voltage ChargeVoltage_2A5,5V 2.5A Curr CC Rp = 10kohm CurrCharge 5V 2.5A,5V 2.5A DUT Input Voltage DUTinput_2A5,5V 2.5A Orion Power Voltage OrionPower_2A5,9V 2.5A Charge Capability ChargeCapability9V_2A5,9V 2.5A Charge Mode ChargeMode9V_2A5,9V 2.5A Charge Voltage ChargeVoltage9V_2A5,9V 2.5A Curr USBC PD CurrUSBC9VTo2A5,9V 2.5A DUT Input Voltage DUTinput9V_2A5,9V 2.5A Orion Power Voltage OrionPower9V_2A5,Atlas Hyperion Closed,BL Critical errors BL_CRI_ERR_PART1,BL Critical errors,Brick ID brickID_capability,Brick ID brickID_dn_voltage,Brick ID brickID_dp_voltage,Brick ID brickID_mode,Brick ID brickID_voltage,Critical summary CRIT_ERR_E0_PART1,FW Update critical errors CRIT_ERR_E2_PART1,FW Update critical errors CRIT_ERR_E2_PART2,FW Update critical errors CRIT_ERR_E2_PART3,GRAPE critical errors CRIT_ERR_E5_PART1,GRAPE critical errors CRIT_ERR_E5_PART2,GRAPE critical errors CRIT_ERR_E5_PART3,GRAPE critical errors CRIT_ERR_E5_PART4,GRAPE critical errors CRIT_ERR_E5_PART5,GRAPE critical errors CRIT_ERR_E5_PART6,GRAPE critical errors CRIT_ERR_E5_PART7,GRAPE critical errors CRIT_ERR_E5_PART8,GRAPE critical errors CRIT_ERR_E5_PART9,GRAPE critical errors CRIT_ERR_E5_PART10,GreenPAK ID GREEN_PAK_PART1,KBD HW Layout KBD_HW_Layout,KeyScan critical errors CRIT_ERR_E7_PART1,KeyScan critical errors CRIT_ERR_E7_PART2,KeyScan critical errors CRIT_ERR_E7_PART3,KeyScan critical errors CRIT_ERR_E7_PART4,Orion Power SYS CURRENT ALL RAILS SYS CURRENT ALL RAILS,Orion Power SYS CURRENT BLC ONLY CurrBacklight,Orion Power SYS CURRENT Energy storage CurrBackupDisBoostEn,Orion Power SYS CURRENT Energy storage ONLY CurrEnergy,Orion Power SYS CURRENT IDLE SYS CURRENT IDLE,Orion Power SYS CURRENT MFI ONLY CurrMFI,Orion Power SYS CURRENT TOUCH ONLY CurrTouch,Orion Power SYS CURRENT USBC Alt power ONLY CurrUSB,Orion Power SysTem Curr Leds to 0% Brightness Sys_led_percent0,Orion Power SysTem Curr Leds to 1% Brightness Sys_led_percent1,Orion Power SysTem Curr Leds to 100% Brightness Sys_led_percent100,Orion Power SysTem Curr Leds to PD 50% Brightnes Sys_led_percent50,PHASE3 ORIONPWR DUT MODE STATUS_READ_F0_PART1,PHASE3 ORIONPWR DUT MODE STATUS_READ_F2_PART1,PPORION OVP OUT 5V2 CURR Read_Orin_Curr_5V2,PPORION OVP OUT 16V CURR Read_Orin_Curr_16V,PPORION OVP OUT -16V CURR Read_Orin_Curr_minus16V,Production signed check Production_signed_check,Read HW Version READ_HW_VERSION,Read MFI Address Read_MFI_Address,Start Control Bit CB Error Could not set INCOMPLETE CB,Start Control Bit P203 open,Start Control Bit,STFW STFW,SYS IDBUS 6V VBUS 0V CURR MeasSysCurr6To0,SYS IDBUS 6V VBUS 5V2 CURR MeasSysCurr6To5V2,SYS IDBUS -4V VBUS 0V CURR SYS_IDBUS_-4V_VBUS_0V_CURR,SYS IDBUS -4V VBUS 0V VOL SYS IDBUS -4V VBUS 0V VOL,System critical errors CRIT_ERR_E1_PART1,System critical errors CRIT_ERR_E1_PART2,System Curr caps lock LED is off SystemCurrentLockOff,System Curr caps lock LED is on SystemCurrentLockOn,TOUCH FW TOUCH_FW,Tristar To CCG3 PID PID,Tristar To CCG3 VID VID,USB-C Power SYS CURRENT ALL RAILS USBC SYS CURRENT ALL RAILS,USB-C Power SYS CURRENT BLC ONLY Usbc_CurrBacklight,USB-C Power SYS CURRENT Capslock ONLY Usbc_CurrCapsLock,USB-C Power SYS CURRENT IDLE (USB-C Power) SYS CURRENT IDLE,USB-C Power SYS CURRENT MFI ONLY Usbc_CurrMFI,USB-C Power SYS CURRENT TOUCH ONLY Usbc_CurrTouch,USB-C Power SysTem Curr Leds to 0% Brightness Usbc_Sys_led_percent0,USB-C Power SysTem Curr Leds to 1% Brightness Usbc_Sys_led_percent1,USB-C Power SysTem Curr Leds to 100% Brightness Usbc_Sys_led_percent100,USB-C Power SysTem Curr Leds to PD 50% Brightnes Usbc_Sys_led_percent50,USBC critical errors CRIT_ERR_E3_PART1,USBC critical errors CRIT_ERR_E3_PART2,USBC critical errors CRIT_ERR_E3_PART3,USBC critical errors CRIT_ERR_E3_PART4,USBC Power On Measure Voltage USBCPowerOnPD_Voltage,USBC Power On Measure Voltage,Write And Read 0x01 Read0x01_PART1
Display Name ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
Upper Limit ----->,,,,,,,,,,,,120,120,NA,1.95,0.1,2.7,NA,120,120,NA,1.95,0.1,4.93,500,NA,1,NA,5000,NA,1520,NA,5100,4800,500,1,5000,2525,5200,4650,3000,6,9000,2525,9100,8700,NA,NA,NA,1500,2000,2000,4,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,4.2,1.75,1.8,1.75,1.75,15,3.75,4.2,6.95,280,80,NA,NA,30,11.5,0.1,0,3,16,NA,NA,NA,352,0.22,0.23,-25,-3.9,NA,NA,1.75,22.4,1285,65280,1452,31.5,7.4,24,4.7,4.7,18,7.5,10.5,295,85,NA,NA,NA,NA,5050,NA,NA
Lower Limit ----->,,,,,,,,,,,,0,0,NA,1.5,0,2.25,NA,0,0,NA,1.5,0,4.7,500,NA,1,NA,5000,NA,1490,NA,4900,4500,500,1,5000,2475,4950,4150,3000,6,9000,2475,8600,8100,NA,NA,NA,1500,1300,1300,4,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,2.9,0.5,0.9,0.5,0.5,11,2.6,2.9,5.75,240,65,NA,NA,7,10.5,-0.3,0,3,16,NA,NA,NA,352,0.19,0.19,-35,-4.1,NA,NA,0.5,17.7,1285,65280,1452,25,5.7,21,3.2,3.2,14.5,5.5,8.5,265,70,NA,NA,NA,NA,4950,NA,NA
Measurement Unit ----->,,,,,,,,,,,,ns,ns,us,V,V,V,NA,ns,ns,us,V,V,V,NA,NA,NA,NA,mV,NA,mA,NA,mV,mV,NA,NA,NA,mA,mV,mV,mA,NA,mA,mA,mV,mV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,NA,mA,mA,mA,NA,NA,NA,NA,NA,NA,NA,mA,mA,mA,V,NA,NA,mA,mA,NA,NA,NA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,NA,NA,NA,mV,NA,NA
FXLH,R128,FTPZD007P3LY,R128-P2,R128-P2_P22AEN-S1,,FXLH_F05-4FT-01_3_QT1,PASS,2019/10/9 15:09,2019/10/9 15:15,V2.2.6.7_forCYG,,108,73,9.995,1.719071164,0.012281,2.400681791,,93,97,10,1.881106126,0.013685,4.823007327,500,,1,,5000,,1506.530912,,5002.466467,4582.982779,500,1,5000,2504.231534,5004.159196,4326.731891,3000,6,9000,2505.687004,9004.511012,8328.840363,,0,,1500,1896,1896,4,5000,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,33,0,0,0,0,28.36156407,3.544658055,1.142493182,1.155805213,0.890443481,0.829608252,12.54250096,3.28933558,3.469799427,6.380098827,260.4525925,73.03811461,1,4,11.02385629,10.81971097,-0.145656356,0,3,16,,,,352,0.197811205,0.203721066,-28.01520734,-3.982013492,8704,0,0.893361785,19.64597847,1285,65280,1452,27.50703753,6.448407052,22.56880084,3.840273519,3.888775151,15.7781767,6.486655773,9.340431847,273.2558555,77.62456697,0,0,0,0,5001.303181,,1
FXLH,R128,FTPZD007P3LY,R128-P2,R128-P2_P22AEN-S1,,FXLH_F05-4FT-01_3_QT1,PASS,2019/10/9 15:15,2019/10/9 15:20,V2.2.6.7_forCYG,,107,75,9.998,1.719721436,0.012278,2.429734097,,91,99,9.996,1.881781492,0.01303,4.823059526,500,,1,,5000,,1506.462158,,5002.861686,4609.25364,500,1,5000,2504.939795,5004.711011,4347.201239,3000,6,9000,2506.009261,9005.159605,8345.025385,,0,,1500,1896,1896,4,5000,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,33,0,0,0,0,28.28636554,3.539231757,1.153229239,1.155654685,0.879600597,0.831101394,12.99528482,3.312919945,3.450959128,6.371220093,260.0026741,73.01509594,1,4,11.0385595,10.82100503,-0.147164097,0,3,16,,,,352,0.19788189,0.20373023,-28.02051236,-3.98216249,8704,0,0.895153556,19.64138736,1285,65280,1452,28.3949619,6.296970862,22.43467539,3.739890657,3.735785122,15.67690281,6.336831691,9.186550788,272.9032128,77.54044844,0,0,0,0,5001.42995,,1
FXLH,R128,FTPZD007P3LY,R128-P2,R128-P2_P22AEN-S1,,FXLH_F05-4FT-01_3_QT1,PASS,2019/10/9 15:21,2019/10/9 15:26,V2.2.6.7_forCYG,,103,72,9.996,1.715336014,0.011803,2.400204545,,93,101,9.997,1.87994877,0.013303,4.823529314,500,,1,,5000,,1505.273793,,5003.018282,4606.248486,500,1,5000,2504.953164,5005.79227,4334.591524,3000,6,9000,2506.186466,9005.756013,8333.209051,,0,,1500,1896,1896,4,5000,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,33,0,0,0,0,28.29080127,3.536077949,1.145889777,1.171824323,0.893558443,0.838994411,12.77388217,3.33391134,3.463673902,6.379008712,260.1266998,73.01955108,1,4,11.02355767,10.82010671,-0.145532532,0,3,16,,,,352,0.197913903,0.203761327,-28.01745317,-3.982125426,8704,0,0.894201829,19.6394305,1285,65280,1452,28.41467624,6.295839473,22.43351244,3.701192779,3.736387235,16.04312812,6.323036513,9.217991752,272.8097322,77.47296326,0,0,0,0,5001.437407,,1
FXLH,R128,FTPZD00AP3LY,R128-P2,R128-P2_P22AEN-S1,,FXLH_F05-4FT-01_3_QT1,PASS,2019/10/9 15:27,2019/10/9 15:33,V2.2.6.7_forCYG,,105,76,10.018,1.715539298,0.01194,2.428637924,,97,98,10.024,1.883753904,0.012634,4.823104268,500,,1,,5000,,1507.009002,,5003.555183,4611.356502,500,1,5000,2504.390914,5005.866839,4351.160883,3000,6,9000,2512.049566,9006.359877,8355.902377,,0,,1500,1889,1889,4,5000,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,33,0,0,0,0,28.53348909,3.859264347,1.526240459,1.543684731,1.255275195,1.18382773,12.9800135,3.678203243,3.801082783,6.727330885,261.2730704,72.97641991,1,4,10.98257516,10.83598501,-0.150721007,0,3,16,,,,352,0.198030164,0.203872822,-27.9983891,-3.98251534,8704,0,1.248819479,19.89731438,1285,65280,1452,28.95421288,6.958559142,22.99450178,4.368722065,4.42180995,16.95586536,6.957991019,9.925981552,274.6129726,77.7100694,0,0,0,0,5001.594003,,1
FXLH,R128,FTPZD00AP3LY,R128-P2,R128-P2_P22AEN-S1,,FXLH_F05-4FT-01_3_QT1,PASS,2019/10/9 15:36,2019/10/9 15:41,V2.2.6.7_forCYG,,103,76,10.02,1.711947329,0.012733,2.392732674,,88,106,10.019,1.882593286,0.013243,4.822888016,500,,1,,5000,,1507.039225,,5003.279275,4617.530863,500,1,5000,2505.504274,5005.471621,4361.272518,3000,6,9000,2506.528486,9005.644187,8359.652292,,0,,1500,1889,1889,4,5000,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,33,0,0,0,0,28.54616987,3.863136805,1.5036321,1.524511813,1.252480713,1.184895995,12.97380543,3.675867629,3.800684612,6.710935455,261.1567538,72.92676747,1,4,11.03276416,10.83517895,-0.149766833,0,3,16,,,,352,0.198008598,0.203891944,-27.99612385,-3.982388581,8704,0,1.24939003,19.90135679,1285,65280,1452,28.86622674,7.062309465,23.00054233,4.376190204,4.370171506,16.39491487,6.956961601,9.866343265,274.733412,77.68037165,0,0,0,0,5001.377751,,1
FXLH,R128,FTPZD00AP3LY,R128-P2,R128-P2_P22AEN-S1,,FXLH_F05-4FT-01_3_QT1,PASS,2019/10/9 15:42,2019/10/9 15:47,V2.2.6.7_forCYG,,105,73,10.012,1.711133493,0.012197,2.428973488,,89,103,10.021,1.884697598,0.013168,4.822977499,500,,1,,5000,,1507.143569,,5003.376216,4619.827606,500,1,5000,2505.63413,5005.270283,4364.359698,3000,6,9000,2506.737375,9005.509995,8362.895261,,0,,1500,1889,1889,4,5000,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,33,0,0,0,0,27.32866894,3.862809042,1.511726631,1.506106103,1.253835466,1.192169904,13.16930267,3.660877937,3.798293157,6.709517576,261.1269104,72.94160177,1,4,10.46743136,10.84389745,-0.145874869,0,3,16,,,,352,0.198068408,0.203964951,-27.99358667,-3.982258115,8704,0,1.254884308,19.90293005,1285,65280,1452,28.34229161,6.966134107,22.99440952,4.465433983,4.45155383,16.50062206,7.050781921,9.857391694,274.7975372,77.69155201,0,0,0,0,5001.415036,,1
FXLH,R128,FTPZD00FP3LY,R128-P2,R128-P2_P22AEN-S1,,FXLH_F05-4FT-01_4_QT1,PASS,2019/10/9 15:04,2019/10/9 15:10,V2.2.6.7_forCYG,,107,75,9.997,1.659874286,0.001847,2.402058345,,92,98,9.998,1.827820684,0.00241,4.829823466,500,,1,,5000,,1506.880682,,4998.833383,4596.644366,500,1,5000,2505.755038,4999.280815,4323.435033,3000,6,9000,2506.807906,8999.17387,8319.549116,,0,,1500,1948,1935,4,5000,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,33,0,0,0,0,28.15498084,3.552590866,1.185541037,1.207921606,0.963238637,0.866982921,13.22888369,3.310283273,3.481495824,6.358314284,261.3947682,73.19465755,1,4,10.69879781,10.862453,-0.118792057,0,3,16,,,,352,0.200515546,0.206442552,-27.90517864,-3.980079697,8704,0,0.955100686,19.624019,1285,65280,1452,28.6200582,6.567405163,22.65850845,3.99777867,4.033503261,16.26169158,6.604967899,9.435305124,275.2591448,77.93880317,0,0,0,0,4998.587296,,1
FXLH,R128,FTPZD00FP3LY,R128-P2,R128-P2_P22AEN-S1,,FXLH_F05-4FT-01_4_QT1,PASS,2019/10/9 15:10,2019/10/9 15:16,V2.2.6.7_forCYG,,103,72,9.993,1.655224928,0.001538,2.430962441,,89,99,9.996,1.828541381,0.002147,4.830681043,500,,1,,5000,,1505.563435,,4999.057099,4588.165533,500,1,5000,2504.870085,4999.228615,4313.121729,3000,6,9000,2507.004063,8998.920388,8309.171231,,0,,1500,1948,1935,4,5000,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,33,0,0,0,0,28.24879372,3.536013827,1.170987645,1.222848409,0.970808039,0.91925805,13.22631559,3.29111163,3.484181974,6.352807075,261.5439607,73.18573664,1,4,10.69692353,10.86779398,-0.12005205,0,3,16,,,,352,0.20051024,0.206431218,-27.90183472,-3.980485316,8704,0,0.955931827,19.62061735,1285,65280,1452,28.6626945,6.575005884,22.66957105,3.985145334,4.002242739,16.15172566,6.586632215,9.45943952,275.4071254,77.91869438,0,0,0,0,4998.624582,,1
FXLH,R128,FTPZD00FP3LY,R128-P2,R128-P2_P22AEN-S1,,FXLH_F05-4FT-01_4_QT1,PASS,2019/10/9 15:26,2019/10/9 15:31,V2.2.6.7_forCYG,,112,72,10,1.660819261,0.000582,2.402453576,,91,101,10,1.829167238,0.001332,4.830285812,500,,1,,5000,,1506.802932,,4999.802819,4584.548793,500,1,5000,2505.753844,5000.391937,4304.926269,3000,6,9000,2506.342029,9000.374186,8305.533006,,0,,1500,1948,1935,4,5000,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,33,0,0,0,0,28.25541635,3.557271753,1.208509427,1.212725357,1.011179789,0.87426564,13.0655995,3.315142434,3.499711052,6.385156511,261.4854431,73.17171566,1,4,10.69912063,10.85576533,-0.121362636,0,3,16,,,,352,0.200457792,0.206277067,-27.89461205,-3.980516461,8704,0,0.980360133,19.63588143,1285,65280,1452,28.60866555,6.596704676,22.64724589,4.025476129,4.041169027,16.18134317,6.595374851,9.459417838,275.1969312,77.98500495,0,0,0,0,4998.811012,,1
