QT1,V1.1.5.5_forCYG - All,,,,,,,,,,,Parametric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,5V 1.5A Charge Capability ChargeCapability_1A5,5V 1.5A Charge Mode ChargeMode_1A5,5V 1.5A Charge Voltage ChargeVoltage_1A5,5V 1.5A Curr CC Rp = 22kohm CurrCharge 5V 1.5A,5V 1.5A DUT Input Voltage DUTinput_1A5,5V 1.5A Orion Power Voltage OrionPower_1A5,5V 2.5A Charge Capability ChargeCapability_2A5,5V 2.5A Charge Mode ChargeMode_2A5,5V 2.5A Charge Voltage ChargeVoltage_2A5,5V 2.5A Curr CC Rp = 10kohm CurrCharge 5V 2.5A,5V 2.5A DUT Input Voltage DUTinput_2A5,5V 2.5A Orion Power Voltage OrionPower_2A5,9V 2.5A Charge Capability ChargeCapability9V_2A5,9V 2.5A Charge Mode ChargeMode9V_2A5,9V 2.5A Charge Voltage ChargeVoltage9V_2A5,9V 2.5A Curr USBC PD CurrUSBC9VTo2A5,9V 2.5A DUT Input Voltage DUTinput9V_2A5,9V 2.5A Orion Power Voltage OrionPower9V_2A5,BL Critical errors BL_CRI_ERR_PART1,Critical summary CRIT_ERR_E0_PART1,FW Update critical errors CRIT_ERR_E2_PART1,FW Update critical errors CRIT_ERR_E2_PART2,FW Update critical errors CRIT_ERR_E2_PART3,GRAPE critical errors CRIT_ERR_E5_PART1,GRAPE critical errors CRIT_ERR_E5_PART2,GRAPE critical errors CRIT_ERR_E5_PART3,GRAPE critical errors CRIT_ERR_E5_PART4,GRAPE critical errors CRIT_ERR_E5_PART5,GRAPE critical errors CRIT_ERR_E5_PART6,GRAPE critical errors CRIT_ERR_E5_PART7,GRAPE critical errors CRIT_ERR_E5_PART8,GRAPE critical errors CRIT_ERR_E5_PART9,GRAPE critical errors CRIT_ERR_E5_PART10,GreenPAK ID GREEN_PAK_PART1,KBD HW Layout KBD_HW_Layout,KeyScan critical errors CRIT_ERR_E7_PART1,KeyScan critical errors CRIT_ERR_E7_PART2,KeyScan critical errors CRIT_ERR_E7_PART3,KeyScan critical errors CRIT_ERR_E7_PART4,Orion Power SYS CURRENT ALL RAILS SYS CURRENT ALL RAILS,Orion Power SYS CURRENT BLC ONLY CurrBacklight,Orion Power SYS CURRENT Energy storage CurrBackupDisBoostEn,Orion Power SYS CURRENT Energy storage ONLY CurrEnergy,Orion Power SYS CURRENT IDLE SYS CURRENT IDLE,Orion Power SYS CURRENT MFI ONLY CurrMFI,Orion Power SYS CURRENT TOUCH ONLY CurrTouch,Orion Power SYS CURRENT USBC Alt power ONLY CurrUSB,Orion Power SysTem Curr Leds to 0% Brightness Sys_led_percent0,Orion Power SysTem Curr Leds to 1% Brightness Sys_led_percent1,Orion Power SysTem Curr Leds to 100% Brightness Sys_led_percent100,Orion Power SysTem Curr Leds to PD 50% Brightnes Sys_led_percent50,PHASE3 ORIONPWR DUT MODE STATUS_READ_F0_PART1,PHASE3 ORIONPWR DUT MODE STATUS_READ_F2_PART1,PPORION OVP OUT 5V2 CURR Read_Orin_Curr_5V2,PPORION OVP OUT 16V CURR Read_Orin_Curr_16V,PPORION OVP OUT -16V CURR Read_Orin_Curr_minus16V,Production signed check Production_signed_check,Read HW Version READ_HW_VERSION,Read MFI Address Read_MFI_Address,Start Control Bit $#@!(com.apple.hwte.rush.module.atlas.exception.PluginFailedErro,Start Control Bit CB Error Could not set INCOMPLETE CB,STFW STFW,SYS IDBUS 6V VBUS 0V CURR MeasSysCurr6To0,SYS IDBUS 6V VBUS 5V2 CURR MeasSysCurr6To5V2,SYS IDBUS -4V VBUS 0V CURR SYS_IDBUS_-4V_VBUS_0V_CURR,SYS IDBUS -4V VBUS 0V VOL SYS IDBUS -4V VBUS 0V VOL,System critical errors CRIT_ERR_E1_PART1,System critical errors CRIT_ERR_E1_PART2,System Curr caps lock LED is off SystemCurrentLockOff,System Curr caps lock LED is on SystemCurrentLockOn,TOUCH FW TOUCH_FW,Tristar To CCG3 PID PID,Tristar To CCG3 VID VID,USB-C Power SYS CURRENT ALL RAILS USBC SYS CURRENT ALL RAILS,USB-C Power SYS CURRENT BLC ONLY Usbc_CurrBacklight,USB-C Power SYS CURRENT Capslock ONLY Usbc_CurrCapsLock,USB-C Power SYS CURRENT IDLE (USB-C Power) SYS CURRENT IDLE,USB-C Power SYS CURRENT MFI ONLY Usbc_CurrMFI,USB-C Power SYS CURRENT TOUCH ONLY Usbc_CurrTouch,USB-C Power SysTem Curr Leds to 0% Brightness Usbc_Sys_led_percent0,USB-C Power SysTem Curr Leds to 1% Brightness Usbc_Sys_led_percent1,USB-C Power SysTem Curr Leds to 100% Brightness Usbc_Sys_led_percent100,USB-C Power SysTem Curr Leds to PD 50% Brightnes Usbc_Sys_led_percent50,USBC critical errors CRIT_ERR_E3_PART1,USBC critical errors CRIT_ERR_E3_PART2,USBC critical errors CRIT_ERR_E3_PART3,USBC critical errors CRIT_ERR_E3_PART4,USBC Power On Measure Voltage USBCPowerOnPD_Voltage,Write And Read 0x01 Read0x01_PART1
Display Name ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Limit ----->,,,,,,,,,,,,500,1,5000,1520,5050,4750,500,1,5000,2525,5050,4500,3000,6,9000,2525,9050,8500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.6,4.2,1.85,1.85,1.65,1.65,14.5,3.96,4.2,6.75,220,68,NA,NA,15,11.5,0.1,0,3,16,NA,NA,352,0.22,0.23,-25,-3.9,NA,NA,1.65,21,1285,65280,1452,33,7.4,24,4.7,4.7,18,7.5,10,240,69,NA,NA,NA,NA,5050,NA
Lower Limit ----->,,,,,,,,,,,,500,1,5000,1490,4950,4500,500,1,5000,2475,4950,4250,3000,6,9000,2475,8950,8250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,2.9,0.9,0.9,0.5,0.5,10.9,2.6,2.9,5.75,195,58,NA,NA,4.5,10.5,-0.3,0,3,16,NA,NA,352,0.19,0.19,-35,-4.1,NA,NA,0.5,18,1285,65280,1452,24,5.7,21,3.2,3.2,14.5,5.5,8.5,210,60,NA,NA,NA,NA,4950,NA
Measurement Unit ----->,,,,,,,,,,,,NA,NA,mV,mA,mV,mV,NA,NA,NA,mA,mV,mV,mA,NA,mA,mA,mV,mV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,NA,mA,mA,mA,NA,NA,NA,NA,NA,NA,mA,mA,mA,V,NA,NA,mA,mA,NA,NA,NA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,NA,NA,NA,mV,NA
FXLH,R118,FTPZF003P3J3,R118-P2,R118-P2_P21J-LPD1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/9/21 14:21,2019/9/21 14:26,V1.1.5.5_forCYG,,500,1,5000,1504.710977,5001.005792,4622.480779,500,1,5000,2502.479653,5001.60227,4370.095976,3000,6,9000,2503.598624,9000.574265,8371.019192,0,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,15,0,0,0,0,26.77977013,3.483003453,1.142148976,1.142542841,0.889799521,0.817296836,12.82039965,3.263948932,3.421649822,6.171660594,207.9334914,60.16503713,1,4,10.69763074,10.96085378,-0.114297594,0,3,16,,,352,0.198790616,0.198726959,-27.76352097,-3.97975522,8704,0,0.890222383,19.55596553,1285,65280,1452,28.53200815,6.575003143,22.6489076,4.003531894,4.019414585,15.76765735,6.612384131,9.352843058,218.7203484,64.52432963,0,0,0,0,5000.118531,1
FXLH,R118,FTPZF003P3J3,R118-P2,R118-P2_P21J-LPD1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/9/21 14:28,2019/9/21 14:34,V1.1.5.5_forCYG,,500,1,5000,1504.800565,5001.013248,4617.537467,500,1,5000,2502.590663,5001.594814,4361.297924,3000,6,9000,2503.863207,9000.70844,8363.423414,0,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,15,0,0,0,0,27.83878535,3.497851944,1.153604907,1.150930004,0.886800826,0.821426384,12.55081676,3.270779963,3.424312644,6.17874051,207.9390084,60.16264011,1,4,10.71080953,10.9563207,-0.116583487,0,3,16,,,352,0.198748198,0.204707631,-27.87933797,-3.980258631,8704,0,0.885309936,19.54426797,1285,65280,1452,28.4969082,6.580427857,22.60956695,4.003268512,4.031435944,15.73414978,6.575017642,9.291151138,218.5885928,64.45637936,0,0,0,0,5000.073795,1
FXLH,R118,FTPZF003P3J3,R118-P2,R118-P2_P21J-LPD1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/9/21 14:34,2019/9/21 14:39,V1.1.5.5_forCYG,,500,1,5000,1504.837722,5001.162367,4621.653166,500,1,5000,2502.658178,5001.855773,4366.897362,3000,6,9000,2503.898295,9000.887339,8366.554157,0,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,15,0,0,0,0,28.08279355,3.489730581,1.143719606,1.158524603,0.911010271,0.836990116,12.68439278,3.271901151,3.430370442,6.199446243,207.8664005,60.15790164,1,4,9.868031359,10.95421364,-0.113816734,0,3,16,,,352,0.198868128,0.204661062,-27.87863964,-3.979812308,8704,0,0.890393944,19.54145533,1285,65280,1452,28.34916752,6.561664872,22.60883963,3.992172617,3.979433601,15.76704602,6.574962065,9.300060234,218.529607,64.47672989,0,0,0,0,5000.215458,1
FXLH,R118,FTPZF006P3J3,R118-P2,R118-P2_P21J-LPD1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/9/21 14:40,2019/9/21 14:46,V1.1.5.5_forCYG,,500,1,5000,1504.083237,5000.923776,4604.810115,500,1,5000,2502.694065,5001.520254,4342.434303,3000,6,9000,2503.739067,9000.447545,8344.780587,0,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,15,0,0,0,0,27.79676738,3.478583942,1.143548044,1.156908063,0.892774052,0.813060968,12.45658864,3.286259123,3.418061538,6.163846107,208.230501,58.94570169,1,4,10.17477776,10.96722812,-0.12155156,0,3,16,,,352,0.199231945,0.205090185,-27.90874287,-3.979431228,8704,0,0.892600074,19.45015342,1285,65280,1452,27.65780773,6.379976841,22.33103147,3.83343511,3.804243144,15.93228351,6.402260452,9.116830569,219.2811181,63.1169584,0,0,0,0,4999.894851,1
FXLH,R118,FTPZF006P3J3,R118-P2,R118-P2_P21J-LPD1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/9/21 14:46,2019/9/21 14:52,V1.1.5.5_forCYG,,500,1,5000,1504.832268,5000.908864,4619.341813,500,1,5000,2502.161817,5001.60227,4364.011899,3000,6,9000,2503.796668,9000.52954,8363.729034,0,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,15,0,0,0,0,27.98685949,3.481679291,1.140793402,1.136837831,0.895014011,0.814474535,12.55503571,3.290234024,3.406124752,6.133979979,208.0793912,58.90740732,1,4,10.13340013,10.97025823,-0.119782772,0,3,16,,,352,0.199170912,0.205095494,-27.91887716,-3.979239947,8704,0,0.889519224,19.45197293,1285,65280,1452,27.43844874,6.435610963,22.41301835,3.816704279,3.829448127,15.75920978,6.371205478,9.077009064,219.0793475,63.08466867,0,0,0,0,4999.902307,1
FXLH,R118,FTPZF006P3J3,R118-P2,R118-P2_P21J-LPD1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/9/21 14:52,2019/9/21 14:57,V1.1.5.5_forCYG,,500,1,5000,1504.849472,5000.864128,4624.73994,500,1,5000,2502.018469,5001.52771,4373.138014,3000,6,9000,2503.776351,9000.581719,8372.845458,0,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,15,0,0,0,0,27.97527066,3.48178561,1.143564959,1.171270867,0.899839469,0.819372483,12.14677347,3.292974169,3.425530486,6.120416987,208.0133321,58.90259153,1,4,10.88912675,10.96746009,-0.114614139,0,3,16,,,352,0.199261119,0.205048377,-27.9191478,-3.97919398,8704,0,0.895473119,19.45687813,1285,65280,1452,28.25026859,6.421492209,22.36826506,3.823731035,3.808667487,15.82587939,6.382509179,9.168639603,219.0703169,63.0643713,0,0,0,0,4999.932131,1
FXLH,R118,FTPZF00AP3J3,R118-P2,R118-P2_P21J-LPD1,,FXLH_F05-4FT-02_2_QT1,PASS,2019/9/21 14:35,2019/9/21 14:40,V1.1.5.5_forCYG,,500,1,5000,1504.563915,5000.03407,4608.285418,500,1,5000,2502.37746,5000.765836,4351.159296,3000,6,9000,2503.457514,9000.638971,8352.499394,0,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,15,0,0,0,0,28.25652556,3.522144588,1.184598188,1.202333941,0.925253982,0.839059735,12.38269454,3.317015604,3.436731328,6.147821929,210.1451323,59.93705923,1,4,10.78652556,10.84233205,-0.143212614,0,3,16,,,352,0.197965898,0.20375054,-28.04279314,-3.980756598,8704,0,0.929176007,19.71917048,1285,65280,1452,27.63923007,6.43417124,22.62181307,3.848004579,3.876266588,15.47697698,6.429751336,9.097572751,221.278781,64.26205212,0,0,0,0,4999.309771,1
FXLH,R118,FTPZF00AP3J3,R118-P2,R118-P2_P21J-LPD1,,FXLH_F05-4FT-02_2_QT1,PASS,2019/9/21 14:40,2019/9/21 14:45,V1.1.5.5_forCYG,,500,1,5000,1504.73358,4999.929532,4619.411247,500,1,5000,2502.45346,5000.526892,4366.227701,3000,6,9000,2503.547087,9000.138789,8366.788192,0,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,15,0,0,0,0,28.31369633,3.523533282,1.160780489,1.178950667,0.949042394,0.837541689,12.65398786,3.319697811,3.432733645,6.124172631,210.1796079,59.92472694,1,4,10.66008602,10.90172132,-0.125630635,0,3,16,,,352,0.198268987,0.204183977,-28.03534691,-3.979730517,8704,0,0.936134124,19.73260592,1285,65280,1452,27.25124735,6.425309465,22.60784315,3.838908507,3.885950842,15.56344946,6.420032914,9.129258905,221.2331439,64.18673801,0,0,0,0,4999.227634,1
FXLH,R118,FTPZF00AP3J3,R118-P2,R118-P2_P21J-LPD1,,FXLH_F05-4FT-02_2_QT1,PASS,2019/9/21 14:45,2019/9/21 14:52,V1.1.5.5_forCYG,,500,1,5000,1504.612679,4999.869796,4619.149902,500,1,5000,2502.46775,5000.459689,4363.039292,3000,6,9000,2503.112391,9000.049204,8363.346638,0,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,15,0,0,0,0,27.91880919,3.539694856,1.150317688,1.16726025,0.927213774,0.840597305,12.80148968,3.300885758,3.436135825,6.124360556,210.1172833,59.91256305,1,4,10.83439281,10.87632212,-0.134072621,0,3,16,,,352,0.198067111,0.203968358,-28.04309089,-3.97993514,8704,0,0.92445591,19.72322918,1285,65280,1452,28.49180557,6.414087642,22.61527474,3.889853342,3.841471125,15.94965543,6.437751583,9.105946408,221.2519572,64.20794184,0,0,0,0,4999.257502,1