QT1,V1.1.7.7_forCYG - All,,,,,,,,,,,Parametric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,2V5 MCU AID FALL Time 2V5FALLTIME,2V5 MCU AID FALL Time,2V5 MCU AID RISE Time 2V5RISETIME,2V5 MCU AID RISE Time,2V5 MCU BITS PERIOD 2V5PERIOD,2V5 MCU BITS PERIOD,2V5 MCU VOH 2V5VOH,2V5 MCU VOH,2V5 MCU VOL 2V5VOL,2V5 MCU VOL,2V5 P203 VOLTAGE 2V5 P203 VOLTAGE,2V5 P203 VOLTAGE [P203] FLAGS ~RO sendCommand,4V8 MCU AID FALL TIME 4V8FALLTIME,4V8 MCU AID FALL TIME,4V8 MCU AID RISE TIME 4V8RISETIME,4V8 MCU AID RISE TIME,4V8 MCU BITS PERIOD 4V8PERIOD,4V8 MCU BITS PERIOD,4V8 MCU VOH 4V8VOH,4V8 MCU VOH,4V8 MCU VOL 4V8VOL,4V8 MCU VOL,4V8 P203 VOLTAGE 4V8 P203 VOLTAGE,5V 1.5A Charge Capability ChargeCapability_1A5,5V 1.5A Charge Mode ChargeMode_1A5,5V 1.5A Charge Voltage ChargeVoltage_1A5,5V 1.5A Curr CC Rp = 22kohm CurrCharge 5V 1.5A,5V 1.5A DUT Input Voltage DUTinput_1A5,5V 1.5A Orion Power Voltage OrionPower_1A5,5V 2.5A Charge Capability ChargeCapability_2A5,5V 2.5A Charge Mode ChargeMode_2A5,5V 2.5A Charge Voltage ChargeVoltage_2A5,5V 2.5A Curr CC Rp = 10kohm CurrCharge 5V 2.5A,5V 2.5A DUT Input Voltage DUTinput_2A5,5V 2.5A Orion Power Voltage OrionPower_2A5,9V 2.5A Charge Capability ChargeCapability9V_2A5,9V 2.5A Charge Capability,9V 2.5A Charge Mode ChargeMode9V_2A5,9V 2.5A Charge Mode,9V 2.5A Charge Voltage ChargeVoltage9V_2A5,9V 2.5A Charge Voltage,9V 2.5A Curr USBC PD CurrUSBC9VTo2A5,9V 2.5A Curr USBC PD,9V 2.5A DUT Input Voltage DUTinput9V_2A5,9V 2.5A Orion Power Voltage OrionPower9V_2A5,BL Critical errors BL_CRI_ERR_PART1,BL Critical errors,Brick ID brickID_capability,Brick ID brickID_dn_voltage,Brick ID brickID_dp_voltage,Brick ID brickID_mode,Brick ID brickID_voltage,Brick ID,CB Error Could not set FAIL CB,Check MLB SN ItemCheckSN fail,Critical summary CRIT_ERR_E0_PART1,FW Update critical errors CRIT_ERR_E2_PART1,FW Update critical errors CRIT_ERR_E2_PART2,FW Update critical errors CRIT_ERR_E2_PART3,GRAPE critical errors CRIT_ERR_E5_PART1,GRAPE critical errors CRIT_ERR_E5_PART2,GRAPE critical errors CRIT_ERR_E5_PART3,GRAPE critical errors CRIT_ERR_E5_PART4,GRAPE critical errors CRIT_ERR_E5_PART5,GRAPE critical errors CRIT_ERR_E5_PART6,GRAPE critical errors CRIT_ERR_E5_PART7,GRAPE critical errors CRIT_ERR_E5_PART8,GRAPE critical errors CRIT_ERR_E5_PART9,GRAPE critical errors CRIT_ERR_E5_PART10,GreenPAK ID GREEN_PAK_PART1,KBD HW Layout KBD_HW_Layout,KeyScan critical errors CRIT_ERR_E7_PART1,KeyScan critical errors CRIT_ERR_E7_PART2,KeyScan critical errors CRIT_ERR_E7_PART3,KeyScan critical errors CRIT_ERR_E7_PART4,KeyScan critical errors,Orion Power SYS CURRENT ALL RAILS SYS CURRENT ALL RAILS,Orion Power SYS CURRENT BLC ONLY CurrBacklight,Orion Power SYS CURRENT Energy storage CurrBackupDisBoostEn,Orion Power SYS CURRENT Energy storage ONLY CurrEnergy,Orion Power SYS CURRENT IDLE SYS CURRENT IDLE,Orion Power SYS CURRENT MFI ONLY CurrMFI,Orion Power SYS CURRENT TOUCH ONLY CurrTouch,Orion Power SYS CURRENT USBC Alt power ONLY CurrUSB,Orion Power SysTem Curr Leds to 0% Brightness Sys_led_percent0,Orion Power SysTem Curr Leds to 1% Brightness Sys_led_percent1,Orion Power SysTem Curr Leds to 100% Brightness Sys_led_percent100,Orion Power SysTem Curr Leds to PD 50% Brightnes Sys_led_percent50,PHASE3 ORIONPWR DUT MODE STATUS_READ_F0_PART1,PHASE3 ORIONPWR DUT MODE STATUS_READ_F2_PART1,PPORION OVP OUT 5V2 CURR Read_Orin_Curr_5V2,PPORION OVP OUT 16V CURR Read_Orin_Curr_16V,PPORION OVP OUT -16V CURR Read_Orin_Curr_minus16V,Production signed check Production_signed_check,Read HW Version READ_HW_VERSION,Read MFI Address Read_MFI_Address,Read MLB SN,Start Control Bit [P203] FLAGS ~RO sendCommand,Start Control Bit CB Error Could not set INCOMPLETE CB,Start Control Bit,STFW STFW,SYS IDBUS 6V VBUS 0V CURR MeasSysCurr6To0,SYS IDBUS 6V VBUS 5V2 CURR MeasSysCurr6To5V2,SYS IDBUS -4V VBUS 0V CURR SYS_IDBUS_-4V_VBUS_0V_CURR,SYS IDBUS -4V VBUS 0V VOL SYS IDBUS -4V VBUS 0V VOL,System critical errors CRIT_ERR_E1_PART1,System critical errors CRIT_ERR_E1_PART2,System Curr caps lock LED is off SystemCurrentLockOff,System Curr caps lock LED is on SystemCurrentLockOn,TOUCH FW TOUCH_FW,Tristar To CCG3 PID PID,Tristar To CCG3 VID VID,USB-C Power SYS CURRENT ALL RAILS USBC SYS CURRENT ALL RAILS,USB-C Power SYS CURRENT ALL RAILS,USB-C Power SYS CURRENT BLC ONLY Usbc_CurrBacklight,USB-C Power SYS CURRENT BLC ONLY,USB-C Power SYS CURRENT Capslock ONLY Usbc_CurrCapsLock,USB-C Power SYS CURRENT Capslock ONLY,USB-C Power SYS CURRENT IDLE (USB-C Power) SYS CURRENT IDLE,USB-C Power SYS CURRENT IDLE,USB-C Power SYS CURRENT MFI ONLY Usbc_CurrMFI,USB-C Power SYS CURRENT MFI ONLY,USB-C Power SYS CURRENT TOUCH ONLY Usbc_CurrTouch,USB-C Power SYS CURRENT TOUCH ONLY,USB-C Power SysTem Curr Leds to 0% Brightness Usbc_Sys_led_percent0,USB-C Power SysTem Curr Leds to 0% Brightness,USB-C Power SysTem Curr Leds to 1% Brightness Usbc_Sys_led_percent1,USB-C Power SysTem Curr Leds to 1% Brightness,USB-C Power SysTem Curr Leds to 100% Brightness Usbc_Sys_led_percent100,USB-C Power SysTem Curr Leds to 100% Brightness,USB-C Power SysTem Curr Leds to PD 50% Brightnes Usbc_Sys_led_percent50,USB-C Power SysTem Curr Leds to PD 50% Brightnes,USBC critical errors CRIT_ERR_E3_PART1,USBC critical errors CRIT_ERR_E3_PART2,USBC critical errors CRIT_ERR_E3_PART3,USBC critical errors CRIT_ERR_E3_PART4,USBC Power On Measure Voltage USBCPowerOnPD_Voltage,Write And Read 0x01 Read0x01_PART1
Display Name ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0
Upper Limit ----->,,,,,,,,,,,,120,NA,120,NA,NA,NA,1.95,NA,0.1,NA,2.7,NA,120,NA,120,NA,NA,NA,1.95,NA,0.1,NA,4.93,500,1,5000,1520,5050,4750,500,1,5000,2525,5050,4500,3000,NA,6,NA,9000,NA,2525,NA,9050,8500,NA,NA,1500,2000,2000,4,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.6,4.2,1.85,1.85,1.65,1.65,14.5,3.96,4.2,6.75,220,68,NA,NA,15,11.5,0.1,0,3,16,NA,NA,NA,NA,352,0.22,0.23,-25,-3.9,NA,NA,1.65,21,1285,65280,1452,33,NA,7.4,NA,24,NA,4.7,NA,4.7,NA,18,NA,7.5,NA,10,NA,240,NA,69,NA,NA,NA,NA,NA,5050,NA
Lower Limit ----->,,,,,,,,,,,,0,NA,0,NA,NA,NA,1.5,NA,0,NA,2.25,NA,0,NA,0,NA,NA,NA,1.5,NA,0,NA,4.7,500,1,5000,1490,4950,4500,500,1,5000,2475,4950,4250,3000,NA,6,NA,9000,NA,2475,NA,8950,8250,NA,NA,1500,1300,1300,4,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,2.9,0.9,0.9,0.5,0.5,10.9,2.6,2.9,5.75,195,58,NA,NA,4.5,10.5,-0.3,0,3,16,NA,NA,NA,NA,352,0.19,0.19,-35,-4.1,NA,NA,0.5,18,1285,65280,1452,24,NA,5.7,NA,21,NA,3.2,NA,3.2,NA,14.5,NA,5.5,NA,8.5,NA,210,NA,60,NA,NA,NA,NA,NA,4950,NA
Measurement Unit ----->,,,,,,,,,,,,ns,NA,ns,NA,us,NA,V,NA,V,NA,V,NA,ns,NA,ns,NA,us,NA,V,NA,V,NA,V,NA,NA,mV,mA,mV,mV,NA,NA,NA,mA,mV,mV,mA,NA,NA,NA,mA,NA,mA,NA,mV,mV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,NA,mA,mA,mA,NA,NA,NA,NA,NA,NA,NA,NA,mA,mA,mA,V,NA,NA,mA,mA,NA,NA,NA,mA,NA,mA,NA,mA,NA,mA,NA,mA,NA,mA,NA,mA,NA,mA,NA,mA,NA,mA,NA,NA,NA,NA,NA,mV,NA
FXLH,R118,FTPZF003P3HT,R118-P2,R118-P2_P21IAR-M7,,FXLH_F05-4FT-02_6_QT1,PASS,2019/10/9 10:27,2019/10/9 10:32,V1.1.7.7_forCYG,,100,,69,,10.001,,1.70436376,,0.00743,,2.397997659,,89,,93,,10.002,,1.879861813,,0.008185,,4.834073935,500,1,5000,1503.438449,4992.200284,4596.138814,500,1,5000,2501.992252,4988.092041,4347.161392,3000,,6,,9000,,2502.897454,,8988.565631,8347.933692,0,,1500,1896,1896,4,5000,,,,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,13,0,0,0,0,,27.81714207,3.534778658,1.165957306,1.179070856,0.906771987,0.862820935,12.32102397,3.291311718,3.49945157,6.235408831,209.6193578,59.13240849,1,4,10.85938868,10.94058058,-0.115624185,0,3,16,,,,,352,0.198766447,0.204572504,-27.99436722,-3.980271235,8704,0,0.911215661,19.25966261,1285,65280,1452,28.15898359,,6.596032667,,22.21867587,,3.962830837,,3.934967865,,15.77702072,,6.532820861,,9.263326829,,220.3797462,,63.35380453,,0,0,0,0,4998.642247,1
FXLH,R118,FTPZF003P3HT,R118-P2,R118-P2_P21IAR-M7,,FXLH_F05-4FT-02_6_QT1,PASS,2019/10/9 10:43,2019/10/9 10:51,V1.1.7.7_forCYG,,101,,70,,10.002,,1.70331523,,0.007977,,2.397319166,,90,,98,,10.002,,1.879997542,,0.008554,,4.834275246,500,1,5000,1504.503423,4992.237563,4629.20607,500,1,5000,2502.146646,4988.159144,4381.868963,3000,,6,,9000,,2503.031597,,8988.677443,8381.93952,0,,1500,1896,1896,4,5000,,,,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,13,0,0,0,0,,27.83686435,3.537883672,1.151299706,1.184410997,0.910577744,0.850809242,12.25743763,3.293957625,3.473700492,6.20983173,209.1825721,59.09676969,1,4,10.03411458,10.94328689,-0.119398567,0,3,16,,,,,352,0.198751616,0.204535823,-27.99074991,-3.979739651,8704,0,0.91248183,19.26603453,1285,65280,1452,27.50160014,,6.53684409,,22.26950145,,3.900713639,,3.914564177,,16.14434752,,6.542305049,,9.24469916,,220.220019,,63.28080891,,0,0,0,0,4998.768999,1
FXLH,R118,FTPZF003P3HT,R118-P2,R118-P2_P21IAR-M7,,FXLH_F05-4FT-02_6_QT1,PASS,2019/10/9 10:52,2019/10/9 10:58,V1.1.7.7_forCYG,,103,,72,,10,,1.701754335,,0.007689,,2.397609949,,90,,95,,10.002,,1.879613761,,0.008208,,4.833798064,500,1,5000,1504.116669,4992.319579,4559.321203,500,1,5000,2502.214139,4988.218792,4285.135124,3000,,6,,9000,,2503.231792,,8988.699806,8293.712211,0,,1500,1896,1896,4,5000,,,,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,13,0,0,0,0,,27.81635192,3.538893708,1.156511781,1.163608611,0.904111582,0.851659798,12.77861848,3.328936757,3.470682466,6.206202367,209.7838699,59.15558857,1,4,10.79062168,10.94207388,-0.115363216,0,3,16,,,,,352,0.198739898,0.204664053,-27.98911644,-3.97956468,8704,0,0.923964342,19.25623139,1285,65280,1452,28.15655757,,6.561863013,,22.25355835,,3.970529339,,3.91590042,,16.13548676,,6.574418386,,9.23970939,,220.3121043,,63.35921958,,0,0,0,0,4998.783911,1
FXLH,R118,FTPZF005P3HT,R118-P2,R118-P2_P21IAR-M7,,FXLH_F05-4FT-02_5_QT1,PASS,2019/10/9 10:41,2019/10/9 10:46,V1.1.7.7_forCYG,,107,,71,,10.006,,1.687314,,0.000564,,2.405471818,,91,,102,,10.005,,1.861555796,,0.000444,,4.832903687,500,1,5000,1504.474154,4987.321667,4601.187268,500,1,5000,2502.051492,4980.441585,4339.259607,3000,,6,,9000,,2502.897999,,8982.869803,8347.620438,0,,1500,1935,1935,4,5000,,,,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,13,0,0,0,0,,28.58100224,3.895345286,1.542448647,1.552115999,1.29322001,1.232024875,13.52351292,3.650310912,3.833125155,6.560348237,212.7443873,60.90561505,1,4,9.835201787,10.98173667,-0.097950138,0,3,16,,,,,352,0.199069562,0.205051091,-27.96132484,-3.979716887,8704,0,1.29469465,20.03217427,1285,,,29.04276032,,6.958365615,,23.05438092,,4.354647245,,4.40444414,,16.07987359,,6.955919163,,9.637452585,,224.0052718,,65.24461705,,0,0,0,0,4999.292862,1
FXLH,R118,FTPZF005P3HT,R118-P2,R118-P2_P21IAR-M7,,FXLH_F05-4FT-02_5_QT1,PASS,2019/10/9 10:48,2019/10/9 10:53,V1.1.7.7_forCYG,,110,,74,,10.001,,1.686118499,,0.000381,,2.404584786,,94,,98,,10.006,,1.857144899,,0.000925,,4.833268935,500,1,5000,1503.836236,4986.948965,4566.764491,500,1,5000,2502.098333,4979.942164,4308.921647,3000,,6,,9000,,2502.921032,,8982.169294,8316.522335,0,,1500,1935,1935,4,5000,,,,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,13,0,0,0,0,,27.28020069,3.89496333,1.53917543,1.566775369,1.295975895,1.22853167,12.75390323,3.63445249,3.828935727,6.550618031,213.4410417,60.94804116,1,4,10.83846695,10.98177052,-0.093349689,0,3,16,,,,,352,0.19907762,0.205029054,-27.95933042,-3.979724301,8704,0,1.292320722,20.02392837,1285,,,28.38729742,,6.954700772,,23.05474595,,4.354144417,,4.348427166,,16.37139297,,6.959023159,,9.64731575,,223.9061058,,65.28223245,,0,0,0,0,4999.084149,1
FXLH,R118,FTPZF005P3HT,R118-P2,R118-P2_P21IAR-M7,,FXLH_F05-4FT-02_5_QT1,PASS,2019/10/9 10:53,2019/10/9 10:59,V1.1.7.7_forCYG,,103,,74,,10.002,,1.683184281,,0.000704,,2.434363693,,91,,98,,10.002,,1.858776204,,0.0002,,4.833082584,500,1,5000,1504.610622,4986.770068,4592.495852,500,1,5000,2502.201844,4979.69618,4323.457033,3000,,6,,9000,,2503.060711,,8981.945728,8327.387668,0,,1500,1935,1935,4,5000,,,,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,13,0,0,0,0,,28.55923801,3.897390442,1.553452844,1.562963063,1.29366482,1.233862131,12.84198757,3.657821905,3.830555413,6.547001538,213.1510821,60.9445117,1,4,10.8097695,10.98619927,-0.098189468,0,3,16,,,,,352,0.199109119,0.204884866,-27.95918296,-3.979782137,8704,0,1.292419837,20.03083742,1285,,,29.00623518,,6.955358317,,23.06220134,,4.355314459,,4.362530524,,16.10585626,,6.941772291,,9.636471104,,223.9937225,,65.26180748,,0,0,0,0,4999.017063,1
FXLH,R118,FTPZF007P3J3,R118-P2,R118-P2_P21J-LPD1,,FXLH_F05-4FT-02_5_QT1,PASS,2019/10/9 11:07,2019/10/9 11:12,V1.1.7.7_forCYG,,105,,73,,10.033,,1.686894874,,0.000233,,2.407991285,,93,,100,,10.035,,1.864403259,,0.000991,,4.833291297,500,1,5000,1504.286163,4986.881879,4616.863123,500,1,5000,2501.659946,4979.852715,4362.128615,3000,,6,,9000,,2502.890411,,8982.139486,8364.618946,0,,1500,1909,1909,4,5000,,,,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,15,0,0,0,0,,27.99517376,3.599863725,1.200663395,1.211387169,0.968999895,0.880490078,12.17346081,3.343813066,3.519614309,6.26039199,208.2825111,60.2308247,1,4,10.68063456,10.96618285,-0.097855857,0,3,16,,,,,352,0.198774472,0.204667791,-27.9652774,-3.979072538,8704,0,0.980586696,19.48156067,1285,,,28.40980139,,6.633850571,,22.48002321,,4.039323317,,4.014455088,,15.4407937,,6.60981636,,9.314308231,,219.1830743,,64.51914502,,0,0,0,0,4999.046879,1
FXLH,R118,FTPZF007P3J3,R118-P2,R118-P2_P21J-LPD1,,FXLH_F05-4FT-02_5_QT1,PASS,2019/10/9 11:13,2019/10/9 11:19,V1.1.7.7_forCYG,,101,,72,,10.032,,1.686699878,,0.000333,,2.407924198,,92,,98,,10.036,,1.866119032,,0.000819,,4.833626729,500,1,5000,1504.228009,4986.688074,4621.902057,500,1,5000,2501.817155,4979.614186,4369.515573,3000,,6,,9000,,2502.940624,,8981.908467,8370.893713,0,,1500,1909,1909,4,5000,,,,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,15,0,0,0,0,,27.96340857,3.612589141,1.204478119,1.210956865,0.975033831,0.883301563,12.09652087,3.339188499,3.523235637,6.256903621,208.2467222,60.22318558,1,4,10.7123514,10.96566068,-0.099023495,0,3,16,,,,,352,0.198709154,0.204629333,-27.97026948,-3.979303139,8704,0,0.957582314,19.45229512,1285,,,28.41980718,,6.609840534,,22.46484408,,4.012013471,,4.018052242,,15.75523526,,6.648386652,,9.321589568,,219.1889904,,64.5042149,,0,0,0,0,4998.92016,1
FXLH,R118,FTPZF007P3J3,R118-P2,R118-P2_P21J-LPD1,,FXLH_F05-4FT-02_5_QT1,PASS,2019/10/9 11:19,2019/10/9 11:25,V1.1.7.7_forCYG,,105,,72,,10.035,,1.685762086,,0.000285,,2.408028555,,90,,97,,10.033,,1.863508067,,0.000583,,4.833201849,500,1,5000,1504.261167,4986.628441,4614.097672,500,1,5000,2501.89506,4979.569461,4355.785223,3000,,6,,9000,,2502.927799,,8981.930824,8357.971568,0,,1500,1909,1909,4,5000,,,,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,15,0,0,0,0,,27.9236489,3.6128744,1.213178494,1.208793254,0.963751627,0.879404646,12.52566282,3.350901007,3.516232307,6.254125979,208.4563254,60.24487487,1,4,10.71777373,10.96337378,-0.100224979,0,3,16,,,,,352,0.198818241,0.204643679,-27.97098989,-3.979499632,8704,0,0.986248346,19.46056519,1285,,,27.1458054,,6.633040728,,22.47404487,,4.006803883,,4.017822585,,15.90293615,,6.643433313,,9.322807959,,219.165111,,64.55548885,,0,0,0,0,4998.942522,1
